id,bdate,sex
435432342,19,1
478702663,37,2
478715323,20,2
435504152,26,2
435507812,42,1
478754016,39,2
435528823,21,2
435534581,29,2
397214518,27,2
478818039,23,2
478843937,28,1
435616490,31,1
435632106,35,2
397321240,17,2
435636295,27,1
478941233,25,1
478960929,22,2
435654593,55,1
435660870,31,2
479013429,26,2
479045701,45,2
397411395,36,1
479054624,21,1
435722330,21,1
479092253,31,2
397449573,23,2
479152695,20,1
479177094,32,2
479179435,31,1
479180672,22,2
397543053,26,1
479185856,30,2
435897303,52,2
435897476,30,1
479189410,57,1
397548382,25,1
435916852,21,1
479216093,118,1
479220247,25,2
397582507,25,2
479258743,25,1
479262531,23,2
397665064,19,2
435933669,17,1
435940751,17,2
397668734,24,1
435945819,19,2
479278000,25,2
479281589,21,1
397707317,28,1
479297913,17,2
397766813,31,2
479325588,37,2
479328936,34,2
436028296,27,2
397793191,26,1
436039864,60,1
479357275,26,1
397829787,29,1
397839952,39,1
397868099,60,2
479395939,25,2
397872613,25,1
436117387,34,1
436131644,23,1
479434982,19,2
479441020,33,2
479474283,26,1
398001537,27,2
479492267,41,2
398033283,18,2
398039874,80,2
398116111,20,1
398132048,22,1
479500763,16,2
479579152,28,2
436254950,16,2
479588832,34,1
398164170,23,2
398165466,30,1
398165616,27,2
479614591,21,2
398170089,16,1
479620724,31,1
398172950,23,1
398179579,26,2
436271118,28,1
398195417,29,2
436297795,36,2
479646553,20,2
479651338,25,2
398305326,21,2
479675675,19,1
436340232,40,2
398311621,17,2
479688388,29,1
436345740,115,1
479695021,19,2
436351978,30,1
436354411,19,2
436392415,17,2
479704591,33,2
479733957,57,2
436429878,20,2
436448995,24,1
436466528,40,2
436470203,27,2
479744348,40,2
479771112,26,1
436482367,25,1
436482383,19,1
479782978,15,2
398433995,73,2
479813471,24,2
398438289,17,1
436552809,44,2
436565807,41,1
436580302,19,2
398475361,40,1
479849942,15,2
398489539,40,1
436640560,38,1
436641280,22,1
398532776,18,2
479957306,50,1
436679495,16,1
398560363,32,1
398569136,33,2
479993215,31,1
480040043,22,1
480084381,20,2
436822037,22,1
436858908,34,1
480100899,29,2
398645110,17,1
480106516,32,2
436908942,39,2
398680063,20,1
480108544,53,2
436918721,27,2
436924954,47,1
436979807,20,2
436991696,25,2
436996687,42,1
437001404,23,1
480187710,30,2
437008474,39,2
480205158,20,2
437046215,33,2
480221707,21,2
437079989,49,2
437086334,28,1
398824844,23,2
398846374,26,1
437098783,37,2
437108119,26,2
480247465,21,2
437183307,22,2
398909949,23,2
480319210,35,1
480331162,41,1
398920331,28,1
480345672,16,1
437237822,29,1
480360297,27,2
480360807,21,2
437261252,19,1
399001588,20,1
480397694,24,1
437323638,32,1
480406733,22,2
437337406,21,1
480409833,22,2
437418185,28,1
399048567,27,2
437439945,91,2
399051148,39,2
437449842,118,1
399086891,19,2
437501994,29,2
399088561,40,2
437527301,26,2
399096155,28,1
437543044,22,2
480559936,19,2
399105794,24,2
437569468,31,1
437571872,20,2
437590148,22,2
399108442,36,2
399148089,22,1
480607148,48,2
437615192,37,2
437645325,20,1
399177288,22,2
480681709,39,2
437675160,31,2
437677941,35,2
437684533,32,1
480707510,117,2
399240934,32,2
437760277,28,2
399257711,80,1
399259802,39,2
437803052,34,2
399266726,23,2
480759012,25,2
480776147,19,2
437849594,41,1
437884861,39,1
437939926,33,2
480848820,23,2
437985365,19,2
480866772,15,2
438016268,17,2
480877310,28,1
438044872,36,2
438049079,27,1
480893899,24,1
480900677,20,2
480906751,35,2
399461326,35,1
438117511,20,2
480945701,39,1
438162265,46,2
480960718,15,1
480963995,36,2
438185474,28,1
438197657,21,1
399502516,22,2
480975395,20,2
399535854,27,1
399544075,34,1
481008993,61,1
438286612,29,1
438312768,22,1
438330487,69,1
399590908,54,1
336586475,17,1
438344503,16,2
438351796,41,2
481076309,40,2
438367904,37,2
336608800,18,2
481096571,26,2
438398572,27,1
481107780,24,1
399689504,46,1
438416581,22,1
438422131,37,2
481125723,28,2
399730789,21,2
438451539,42,1
481157662,45,2
438513408,36,2
336698163,25,1
399765845,30,1
336700739,18,2
336724698,55,2
438613756,20,1
438614943,19,2
336737402,25,2
481254947,22,1
336741411,38,1
481258860,22,2
399829280,20,1
438683453,32,2
399832445,19,1
481318207,15,1
336791523,25,2
438705957,53,2
399886360,30,2
438716709,24,2
336887875,30,1
481388267,25,1
336892817,20,2
438783532,20,2
399938620,27,1
336916561,21,2
336922274,18,2
481416165,24,2
438814889,26,2
481453062,23,2
399967596,21,1
438901622,21,2
400001010,20,2
337013412,19,2
438905187,40,2
481483683,53,2
337017339,19,2
481491043,26,1
400065656,29,2
337085770,18,1
400080355,31,2
337089587,30,2
481531892,23,2
337098041,30,1
481553254,18,2
337108994,25,1
337118944,20,1
438995456,21,2
400118641,35,1
337148034,22,1
481677107,34,1
337166218,65,1
400158771,25,1
481711396,22,2
337180907,22,2
337191232,52,1
337192613,24,2
400222131,32,1
481781632,42,1
439085155,29,2
337265613,24,2
481808214,37,2
481813509,23,2
400249140,19,1
481820597,25,1
439167800,39,2
481835294,30,1
481835625,26,1
439188689,19,2
439191627,57,2
481852284,29,2
481858946,21,2
337390883,30,1
400310389,41,1
337400991,114,1
337403498,28,2
400331910,30,2
481870028,29,2
400344878,27,2
481888002,18,2
337436281,28,1
439331422,31,2
337452110,23,1
337452489,31,1
439351244,39,2
439368205,29,1
481936031,33,2
481952908,22,2
439370092,32,1
481957680,37,1
439380433,26,1
337533849,26,2
481970340,16,2
337538707,26,1
481974545,28,1
337540476,26,2
400433845,26,2
337565247,47,2
439404917,30,2
400463050,24,1
482021572,31,2
439418019,16,2
439421630,103,1
482066383,21,1
439457206,26,2
337650538,22,1
482070845,21,2
482074067,27,1
337683838,20,1
439537433,34,1
482165124,26,2
439544413,38,1
482218591,25,1
482238641,30,2
439564816,45,1
482257445,33,2
439573350,23,2
400651890,38,1
439587235,18,1
337753369,18,1
482278709,16,2
337760090,34,2
482282092,19,2
482305564,42,2
482338483,21,1
400734066,24,2
400735256,35,1
400736656,62,2
482392916,25,2
337809858,22,2
482463434,64,1
337815233,25,1
400768554,16,1
439746619,20,2
482489805,31,2
482512211,33,1
337854179,39,2
439785995,28,1
482555825,30,2
482578198,44,1
400841884,21,2
482579127,16,2
400843887,31,1
482583925,30,1
482587559,24,2
400874676,23,1
439842036,31,2
482633002,30,2
482634086,30,2
400911290,33,1
482644620,30,2
400930554,33,2
337929246,50,2
482652190,40,2
482661656,35,2
337953351,21,1
401002723,26,1
482688320,20,2
439881784,33,1
482706378,35,2
401053232,25,2
439943081,46,2
482752012,21,1
482758133,18,2
401143517,23,1
338011900,34,2
401152517,22,2
401157765,22,2
482820708,17,2
338025058,47,2
482872431,30,2
482872495,27,1
482901146,36,2
440032240,32,2
482929346,21,2
401261613,19,1
482935091,23,1
440056923,28,2
401294471,30,1
440065414,32,2
482966484,29,2
482987531,22,2
482987872,32,2
401346905,17,2
401352041,24,2
338146978,37,2
440114812,23,2
483009831,41,2
483020118,21,2
440134415,69,1
440142154,37,2
483052921,23,2
483057543,24,2
483064268,72,1
483066654,46,2
338190100,25,1
483080544,32,2
338192881,25,2
440161967,41,2
338195304,20,1
401469390,24,2
338209285,26,2
338210187,26,2
401491676,24,2
483108795,24,2
440185901,33,1
338222730,23,2
440187298,42,1
338225552,32,2
440201069,27,2
483153539,16,2
401532503,19,1
401537297,25,2
401542836,22,1
483189270,91,1
440273054,39,2
483219669,19,2
483228041,17,1
401704563,19,2
483293719,16,2
401706096,27,1
483296624,48,1
440314000,31,2
483332283,21,2
440317577,23,1
483350709,21,2
338359640,29,1
440354149,16,1
440369686,35,1
440415110,28,2
483494262,36,1
338388918,16,1
338389883,51,2
440417925,21,1
401818089,20,2
338399538,27,2
483580511,35,2
338402109,31,2
483616634,28,2
440426074,20,2
338427248,20,2
401832896,23,2
401840696,31,2
483672639,19,1
440492890,19,2
483679707,22,2
440501903,33,2
440504551,28,2
401884516,24,2
483744814,29,2
440527484,38,2
338496458,29,1
483783325,30,2
401922447,32,1
483815434,118,1
483816099,17,2
440566132,26,1
483836727,25,2
401960809,21,2
401961539,22,2
483854988,22,2
401990315,23,2
483867375,80,2
483911366,20,1
338569024,17,2
483915576,24,1
483915928,19,1
440653462,20,2
402020428,25,2
440657837,38,1
483937292,30,2
483956699,32,1
338666950,18,2
440730894,26,1
402069194,30,1
440733769,20,2
338679315,33,2
338683916,62,2
338685401,20,1
483982103,19,2
338703473,37,1
484025727,31,2
484026615,20,2
440810285,24,2
338738142,32,2
338746530,32,1
402163945,61,2
365677941,23,1
365682349,28,1
440823647,118,2
440824495,102,1
484060124,32,2
338779672,29,2
365702709,21,2
440854970,36,2
338866773,23,2
365742914,65,1
484155054,22,1
338889215,18,1
365757311,34,2
440960202,24,2
365773400,22,1
440976066,27,2
484174865,47,1
402288274,28,2
402318457,20,2
402325990,20,2
402346143,103,1
484228377,20,1
338924415,20,1
402354026,32,1
402355750,26,2
441030604,20,1
338937650,26,1
365796599,28,2
441054481,24,1
441056324,52,2
484242863,20,2
484243982,35,2
484250658,25,1
441063473,27,2
484270352,30,2
484272709,26,2
338983693,24,1
441077875,103,1
402408354,22,1
338996139,20,2
339010942,22,1
339025280,21,2
484302928,15,2
441106556,32,2
441113111,29,2
484321122,62,1
365898374,32,2
339060230,22,1
484336564,38,2
365910621,25,2
339062218,20,2
484351300,23,2
402538582,23,2
484360058,23,2
339085086,26,1
339101828,23,2
365935311,31,2
441177869,41,1
484382354,22,2
441251578,39,2
484386216,16,2
441262148,16,2
441273673,22,2
402592719,36,2
484419434,30,2
339133710,28,1
484436582,16,1
402617839,37,2
402625535,26,1
339158692,33,2
441316820,21,2
339167184,34,2
484457682,40,1
441328297,36,2
484463753,28,1
402664711,29,1
366018592,21,2
441343289,21,1
484491868,23,2
484492380,26,1
366027323,31,2
402668282,20,2
402673078,22,2
366048633,27,2
339175944,21,1
402682599,28,1
441412499,30,2
366081717,19,1
402714291,17,1
402714556,36,2
366096384,91,1
484568327,20,1
484579883,22,1
339288182,24,2
339288363,41,2
339291933,25,1
339294100,29,2
366168920,26,2
339300970,26,2
441498001,36,2
366183650,21,2
402812388,20,2
484639142,22,1
402832333,24,2
339311523,20,1
441531689,27,1
339320669,23,2
484649901,50,2
484650473,16,2
402842219,36,1
339345759,26,2
484658898,23,2
402851641,34,1
441558149,30,2
441570526,37,2
402890499,25,1
484680826,22,1
366314327,27,1
312559365,110,2
312561773,23,1
484702468,30,1
312594352,24,1
441637090,20,1
484723933,39,2
366346208,28,1
484732307,31,1
441669796,27,1
339468299,23,1
484856927,17,2
484861919,32,2
402985421,61,1
312628342,114,2
484868005,21,2
402990717,17,2
312649007,20,1
339500561,28,1
312649539,17,1
403018986,20,2
441719086,59,2
441728103,27,2
484965186,27,1
312659332,24,1
366450339,27,2
441738456,24,2
366453534,31,1
339508615,49,1
403044620,25,2
339513608,98,2
312682881,34,1
366460934,34,1
403081891,26,2
366465453,31,1
366469520,16,2
403094518,20,2
441771337,35,2
339566963,21,2
441809185,30,2
312707138,29,1
441823722,22,2
312714807,21,1
485136765,23,2
403149598,33,2
339598009,36,2
441861477,38,2
441863460,28,2
441900600,30,2
441912581,35,2
485252179,30,2
403197812,28,2
312766432,18,2
403210588,21,2
485297739,29,2
441970843,29,2
366608375,27,1
441984368,35,1
339681442,32,1
442034799,29,2
442052157,75,2
485410425,31,1
442061386,52,1
339712252,28,1
403301549,24,1
485419587,22,2
366669423,56,1
485421156,41,2
366678743,23,1
485440932,23,2
339732758,26,2
403315532,28,2
442096433,66,1
366708187,21,2
403335097,18,1
339771703,30,1
485487763,27,2
339773035,25,1
442140065,28,2
485500396,26,2
403369734,102,2
366732000,25,2
403378908,39,2
312967192,30,2
313004195,23,2
485537902,64,2
403401587,30,1
313019224,23,2
366777756,24,2
313030112,16,1
442203933,52,2
442236867,16,2
485582473,27,2
313056547,36,2
313079481,32,1
403475133,30,1
485587536,27,1
366848752,35,1
366852195,25,1
339862260,36,1
313093313,117,2
339876171,31,1
403523523,34,2
313104156,21,1
339882092,21,2
313106182,32,2
403535696,23,1
485694587,29,1
442374925,36,2
403544316,65,2
403544598,32,2
442382493,20,2
313155447,29,1
442394256,30,1
442394514,37,2
366982275,21,2
366983866,19,2
442399072,33,2
442407783,17,2
485759579,16,1
485766172,35,2
367016205,25,1
403590794,57,2
339959434,29,1
403602667,17,1
442472896,21,2
442473333,36,1
485827139,55,1
313221006,27,1
339969043,118,2
403617423,48,1
485834018,38,2
403630208,26,1
313237300,27,1
313242635,32,1
367116814,24,1
340007190,18,1
403641999,19,1
485872873,36,1
340018843,41,1
403651955,23,1
403670796,32,1
367158631,35,2
442574353,16,2
367176430,22,2
442580783,78,2
340049622,95,2
442619828,17,1
367204650,17,1
442625736,20,2
403717849,27,2
367252646,21,2
485992195,26,1
313331826,27,2
442632514,26,1
442648530,22,1
403745788,22,2
313337096,35,1
485999278,36,2
313354783,21,2
486009235,22,2
486034366,20,1
403778178,25,2
367340479,29,2
340158662,17,2
367360732,21,2
486052088,29,1
442743147,16,2
367372767,18,1
486071959,28,2
486122388,34,2
340192461,65,2
403801521,23,1
442753368,30,2
340198526,16,1
403807682,18,1
367389609,41,2
313400438,32,2
313410871,25,2
367426985,26,1
313414148,19,2
313417842,29,1
313420855,20,2
486187662,32,1
403919880,16,2
442855965,29,2
403922909,18,1
442858387,31,1
340295766,17,1
442877355,44,1
442879047,33,2
313441028,22,2
486231067,30,2
486231483,30,2
313476715,25,1
486246981,37,1
367507608,29,1
442900358,35,1
404018593,20,1
367511855,37,2
367513281,27,2
340340009,45,1
367517757,21,1
442911388,35,1
486294107,29,2
486296043,34,1
313506472,41,1
404083389,21,2
486309378,23,2
442933096,16,2
404098864,30,2
313511391,25,2
367540520,18,1
313526536,24,2
404105690,117,1
404106278,29,1
486345346,47,1
340415235,22,1
486362117,34,2
443008152,30,2
443019225,27,2
486380228,20,1
486390662,20,1
367596785,30,1
313592106,53,2
443039804,40,1
404269815,28,2
443066348,20,1
367633754,33,1
486446643,20,1
340474619,20,2
404291094,25,2
340484445,59,2
313645399,26,2
443103497,33,1
404312644,20,1
340486376,99,2
367658661,17,2
367663242,17,1
340489855,25,2
367676611,23,2
486575843,23,2
340504216,19,1
313685074,18,2
313706708,30,1
367723049,114,1
367723937,18,1
486645466,100,2
313723472,20,1
367736709,30,2
340561362,19,1
443239792,47,2
486675978,28,1
367776731,30,1
443283390,26,1
367777369,38,2
404446909,22,1
486693755,20,1
313810454,75,2
367789421,28,1
404470576,17,2
313827372,22,1
443296358,19,2
404477125,16,1
486737682,32,1
443354141,22,2
340606893,26,1
313831204,22,1
367815960,19,1
313856603,27,1
367817485,17,1
313874182,22,1
340632377,23,1
486791467,17,2
443361646,21,2
313888742,23,2
404513928,32,1
340640556,24,1
443362554,26,1
443384958,31,1
404539370,15,2
367855213,33,2
313897894,44,2
486812470,27,2
313905082,112,1
367867836,19,2
443421651,34,1
443423310,28,1
367884526,36,1
486870982,16,2
367887333,18,2
443428463,23,2
313980224,31,1
404587509,47,1
404655178,35,2
367918421,25,2
313996486,26,2
486891801,16,1
314007082,20,2
443451126,97,2
486902660,25,1
486911483,46,1
443477884,25,1
314048080,20,1
367963718,34,2
314065371,23,1
314068123,41,2
340794590,49,1
404739388,24,2
404742811,23,1
486945885,26,1
443522953,33,1
486978364,31,1
340831266,21,2
404769130,22,2
314137517,38,2
368017808,27,1
314169736,34,1
404818405,58,1
487061782,38,2
314174960,28,1
487066535,18,1
443600790,34,1
314189498,56,2
443605702,22,1
368070054,31,1
368075234,22,2
487094696,33,1
404866243,16,1
404887706,23,2
487123277,24,2
340935320,27,1
314263409,22,2
340942735,22,1
314286449,36,1
340945798,27,1
404912198,31,2
487154416,27,2
368132266,16,1
487183479,33,2
368145401,60,2
443727505,40,2
340987853,22,1
264316965,24,1
264325786,19,2
178278087,19,1
191613148,30,2
191613895,41,1
155619324,26,1
111223524,20,2
224209434,22,1
166311543,32,1
487232747,32,2
487245573,20,2
314303288,22,1
340990042,21,1
85205956,24,1
191615775,23,1
264354041,23,2
111231346,20,1
443748937,22,1
340994288,19,1
368200333,23,2
287554968,26,2
207756298,21,2
241918900,32,1
85213193,33,2
487255184,21,1
405026881,22,2
341016214,21,2
155624292,22,1
264394968,20,1
314360706,56,1
111235578,33,2
137640068,24,2
241924575,19,1
166335837,18,2
443773866,20,1
178295769,21,2
368242086,30,2
314375106,25,1
166337351,19,2
85229554,21,1
443777304,27,1
241940411,102,2
207803184,30,1
155638318,27,2
146062054,21,1
368243256,31,1
368245806,113,2
405080056,30,1
405080602,28,2
487276461,18,2
191657185,22,1
443795502,19,1
241942296,36,2
207806910,35,2
264406251,61,1
137646759,21,2
224237540,32,1
405101172,31,2
166348331,20,2
487279603,34,1
443805870,21,1
191662748,43,2
207809186,30,1
155653544,20,1
137647324,44,2
178308981,28,2
368253698,19,1
85247598,47,2
224245084,25,2
224245695,21,2
487297206,21,1
487297655,23,1
72315882,32,1
368256811,46,1
97241282,31,2
287592135,23,1
264433327,18,1
443815219,29,2
191672884,24,2
111263498,19,2
137653902,21,2
137654043,28,1
72327567,27,2
85262997,27,1
207840976,33,1
207841177,52,2
1210,35,2
1659,33,2
97246779,30,1
191676795,22,2
166362682,22,2
111272803,29,1
264443829,22,2
146078694,29,2
137655402,34,1
137655785,25,2
155676771,35,1
207844406,19,1
443829111,21,1
368293532,19,1
241981672,27,1
2617,28,1
341169638,29,1
97252805,21,1
166369864,31,1
146082168,21,1
146082941,48,2
146083078,27,2
287602648,22,2
487351269,23,1
264460525,20,1
314488450,26,1
137660364,118,2
191692604,18,2
111294141,23,2
155680536,28,1
287612429,117,2
191709043,21,1
314514447,18,1
4380,34,1
4507,32,1
4605,31,1
5013,31,1
155681552,38,2
85288445,26,1
97260624,40,2
137661795,21,2
111297936,100,2
443891738,51,2
242039758,21,2
6001,34,1
6026,35,1
155686480,45,2
314533776,24,1
207875488,46,2
487410743,118,2
166378973,23,1
85293244,26,1
137668211,26,2
405203915,22,1
178345463,28,2
341218859,24,2
443895651,31,2
126687633,53,2
126690709,23,1
487476570,19,2
51713915,16,1
97267729,21,2
191720429,20,2
137670596,54,1
137670649,21,2
7368,31,1
7441,39,1
7705,46,2
287628989,30,1
443901025,37,2
242051910,37,2
126701429,26,2
111350966,23,2
314596594,25,2
264485542,24,1
85304819,29,2
341239254,19,1
9149,30,2
443928270,24,1
287641331,22,2
51715828,30,2
146098109,20,2
178390613,17,2
264498575,64,1
17554926,21,2
17557003,41,1
97276916,30,1
97277172,30,1
10231,31,2
10232,43,2
166397660,19,1
85312315,44,1
368378891,32,1
443945086,45,1
191725602,29,2
111354234,26,1
72368288,23,1
51724208,25,2
242076799,33,2
264500478,52,1
6871441,43,1
61623849,23,1
61633166,33,1
61633247,21,1
11836538,29,2
85314959,20,1
405239122,19,2
155702048,45,2
126740957,20,2
178402722,31,1
341275139,23,2
72374954,19,1
287683236,26,2
264503403,20,2
6872450,30,1
61635458,24,1
31702683,25,1
12332,31,1
314648513,18,2
191731930,30,2
405276636,100,2
111373212,43,1
341276864,28,2
6873636,30,1
61635638,26,1
287707588,28,2
41146772,28,2
23812512,44,2
487636845,39,2
17565116,26,2
13574,33,1
368388216,34,2
224317538,24,2
85323183,23,1
405307508,17,2
314665851,32,1
191748454,22,1
155713962,21,1
178404400,21,1
242089888,30,2
51729672,23,1
126771230,28,1
6875211,30,1
264515622,22,1
61638609,22,2
287713376,23,2
41150548,43,1
11844319,25,1
17566668,24,2
17566919,28,2
487658152,16,2
111383029,25,2
405330123,50,1
85331763,21,1
242090734,39,2
126772577,55,2
155714779,28,2
6877231,46,2
61640958,20,1
23819424,33,2
14839,32,2
97290634,21,1
166417601,33,1
166418038,17,1
137691684,19,2
242092382,19,2
111388317,30,1
126782977,25,1
146124630,28,1
6877736,33,2
178423010,24,1
41169772,23,1
287735778,18,2
23820666,25,2
17570552,29,2
15822,32,1
224345920,54,2
487723887,16,2
242119597,58,2
191770861,23,1
111390332,28,2
314685512,22,1
85359487,27,2
146134148,30,2
178427391,25,1
341365959,27,2
17110,36,1
17691,33,2
11851351,29,2
31724556,30,1
61656888,25,1
137698005,31,2
405345618,102,1
487734472,24,2
487735798,36,1
224360647,21,2
6880730,38,2
146141687,32,2
18446,31,1
97293512,24,2
23828329,28,1
264580931,20,1
31728053,26,2
487738362,22,2
405351180,17,1
224365384,18,2
51745423,29,1
191784423,19,1
85375885,22,1
166459272,34,2
166459491,21,1
41182175,28,2
314702690,41,2
444054009,29,1
19302,31,1
264585658,24,2
17579763,39,1
31733322,30,2
368425940,25,1
61671739,26,1
137713022,35,1
6882632,32,1
6882919,33,2
85378863,23,1
126789970,24,2
166461276,18,2
41191401,38,1
72398611,22,1
191798733,48,2
242186716,22,2
341379694,26,2
20407,31,1
20814,33,2
51749670,21,1
31735809,56,1
11854380,27,2
287763780,117,2
264591362,30,1
6884947,24,1
6885480,26,1
137719428,28,1
137719733,21,2
405373369,21,2
111412960,21,1
166462331,20,1
155740826,26,1
242191077,21,1
41201262,34,2
23837027,29,1
11855858,25,1
11855929,31,2
51753707,23,2
224375567,19,2
224376159,30,1
368437336,22,2
137720625,30,2
6886501,24,1
97323033,22,1
85394965,28,2
155741380,20,2
111415918,24,1
166468716,38,1
314712365,38,2
11860077,35,1
11860311,24,2
22434,33,2
22488,31,1
22637,32,2
487825186,16,2
31739812,23,1
31739874,27,1
146162950,23,2
51759425,20,2
368449680,20,2
6887223,27,2
137724070,30,2
287817654,19,1
85398590,27,1
111416291,24,2
191805521,20,2
405439651,16,1
23839447,31,2
178456563,59,2
23493,35,1
2969947,33,2
487871839,25,2
31741002,24,2
444110828,49,1
146169864,25,1
146170227,25,1
51765069,23,2
6888112,36,2
137726486,59,1
111422035,21,1
155748405,113,2
23846702,24,1
405474822,30,1
31741413,25,1
126863425,22,2
487912228,48,1
224388690,24,2
368461045,27,2
6888954,52,1
264643336,26,1
137727963,20,1
97328059,20,2
111423123,36,2
287841004,34,2
23850756,26,1
61711885,33,2
178465227,35,2
31744060,33,1
25705,32,2
26612,34,1
51769459,34,2
242229921,20,1
264655773,32,2
137728907,27,1
97331651,21,1
85418418,33,2
155750791,19,1
314752670,21,2
17590471,44,2
191817221,39,2
405491613,30,2
31745959,63,1
146177384,22,2
444142553,26,2
97332879,26,1
487940138,32,2
85419482,22,2
41227403,24,2
2974226,30,2
2974374,27,1
31748564,50,2
178477191,21,1
28233,36,2
146181722,28,2
405512003,26,1
72432844,72,1
444145726,21,2
51778541,15,2
17592539,32,2
208042937,26,1
2975610,53,2
85422514,22,2
264715601,22,1
11876940,30,2
137735469,25,1
31749286,24,1
178479363,21,2
6893983,100,2
30081,33,2
30298,30,1
405520048,28,1
146183586,20,1
444156101,33,2
242249022,65,1
17595125,26,2
41230470,24,2
11877285,28,2
11877286,23,2
2976714,51,2
368499348,23,1
31749808,25,2
191848304,40,1
178483653,25,2
30958,49,2
405525756,23,2
146189525,21,2
23859676,22,1
242272277,29,2
111453201,21,1
2979526,36,1
85433820,23,2
6897305,68,2
32018,34,2
487983398,28,2
405550099,20,2
166495740,22,2
208067740,28,1
444185838,35,2
11879335,110,2
41239643,32,2
264741676,26,1
97356556,24,2
191855542,31,2
368511059,23,1
32834,31,2
6900031,32,1
85450033,28,2
17600847,23,1
166497907,34,1
287898844,34,1
341493172,17,2
155760646,25,2
51805519,30,2
23864621,25,1
111472141,23,1
97358481,26,2
11884154,57,1
85451251,23,2
31761227,57,2
341496619,35,2
287913195,27,2
242280214,24,2
166504285,25,2
166504780,48,1
368543553,22,2
137747958,33,1
146205809,27,1
155763560,21,1
2982497,35,2
2983085,29,1
72454087,61,1
23866389,37,2
23869722,37,2
11886397,29,1
208074730,34,2
6912148,47,1
444232947,20,1
97367298,22,1
41254553,22,2
17611630,28,2
17612147,30,2
242286304,21,1
2983131,28,1
2984057,29,2
368556590,22,2
111474597,19,1
137760708,113,1
36206,36,2
11886856,27,1
11887415,24,1
314836278,18,2
178502608,30,2
488042298,17,1
208081524,33,2
126938132,49,1
6913796,34,1
405596981,17,1
41255585,21,1
242291257,26,2
146212305,68,2
137762317,22,2
137762619,25,1
264808950,20,2
23879562,28,2
37059,34,2
37283,32,1
37456,35,1
488046605,117,1
178507461,101,2
208086478,37,2
405608260,20,2
17617134,41,1
242295323,50,1
41266568,33,2
444279612,33,2
444295613,27,2
224456558,45,2
191881754,26,2
72469794,30,2
38317,33,1
166521823,19,1
51833028,23,1
23885486,23,1
11894415,33,2
61767404,24,1
17620217,28,1
405616319,21,2
444297163,18,2
146218544,86,2
137765896,19,1
38885,33,2
166523198,20,1
111501072,24,1
287974519,20,1
31778547,30,2
11895386,24,1
11895628,29,2
488051385,35,1
61773025,36,2
6920928,27,2
85473065,30,2
208101450,31,1
2987783,45,1
224464145,32,2
341550058,71,1
166524497,35,2
40240,31,2
40423,33,1
287976353,18,1
155786631,29,2
178538695,21,2
178539069,23,1
2988767,33,2
17622651,32,2
6921986,32,2
41276853,28,2
224465110,22,1
146228075,21,1
191889615,20,2
137768413,22,1
31780293,24,1
51845876,33,1
166540996,43,1
111506455,30,2
11897743,33,2
17624187,31,2
2991247,35,2
41278006,30,2
242319911,67,1
61785021,31,1
224467399,22,1
42034,37,2
42128,39,2
42531,29,1
488093691,36,2
155790603,29,2
