id,age,sex,city,education_status,relation,relatives,love_relation,sport_fitness,job_money,history_politics,news,friends,followers,avg_likes,posts,avg_views,repost_ratio
3373090,7,2,2,0,0,0,2,1,1,1,1,2,2,2,6,5,5
3460295,3,2,1,3,1,4,2,0,1,1,1,6,3,1,6,5,6
1897657,4,1,1,0,0,0,2,1,1,1,1,3,2,2,5,4,3
1901243,4,2,1,0,0,0,1,1,1,1,1,2,1,1,6,2,1
3496651,2,1,2,1,0,0,2,0,1,1,1,1,1,1,2,6,7
3580722,4,2,2,1,4,1,1,1,0,2,1,6,3,1,6,5,9
2305789,5,1,2,0,0,0,2,0,0,1,0,2,3,1,6,2,9
3621844,3,2,1,0,0,0,2,1,2,1,1,3,2,1,6,2,10
2419371,3,1,2,3,0,2,1,0,1,1,1,2,4,1,6,3,8
2638866,4,2,1,3,1,3,1,1,1,1,1,3,1,7,1,6,0
2643479,3,1,1,0,0,0,2,1,1,1,1,2,3,2,5,3,7
3764366,4,2,2,0,0,0,1,0,0,1,1,3,1,1,6,3,3
3876742,3,2,1,0,0,0,2,0,1,1,1,1,1,1,6,1,9
623658,3,1,2,0,0,0,2,0,0,0,1,2,4,3,5,5,5
3042677,2,1,1,0,0,0,1,1,1,1,1,4,4,2,6,5,5
801187,3,1,1,0,0,0,2,1,1,1,1,3,4,1,5,3,8
4021641,4,1,2,0,0,0,2,1,1,1,1,3,3,1,6,3,6
4023864,3,1,1,0,0,0,2,1,1,1,1,1,2,1,6,1,8
3221408,4,1,1,0,0,3,2,1,1,1,1,1,1,1,6,1,10
1521286,5,2,3,0,1,0,4,1,1,1,1,0,3,5,6,6,2
4289227,4,2,1,0,0,0,1,0,1,1,0,3,1,1,6,2,3
1876463,3,1,1,3,4,3,1,1,1,0,0,5,3,2,6,4,7
3526245,2,1,3,0,0,0,2,0,1,1,1,2,2,4,2,6,3
2213929,8,1,2,0,0,0,2,1,1,1,0,2,2,1,6,2,10
3582967,5,1,1,0,0,0,2,1,1,1,1,6,6,1,6,3,9
2426441,3,2,3,0,0,0,2,1,1,0,1,2,1,1,6,2,5
3693036,4,2,1,0,0,0,1,1,1,1,1,3,1,1,6,2,10
2580385,6,1,2,0,4,0,1,1,0,1,0,1,1,1,5,0,10
3734106,3,2,1,0,0,1,2,2,0,0,1,4,6,7,1,6,0
2863709,3,1,2,0,0,0,1,1,1,1,1,3,4,1,6,3,4
4763844,2,1,2,1,0,3,2,1,1,1,1,5,6,1,6,2,9
2883534,2,1,1,1,1,0,0,0,0,0,2,1,2,1,6,1,8
3843138,4,2,1,0,0,0,2,1,1,1,1,6,2,1,6,1,9
3902287,3,2,2,0,0,0,1,1,1,1,1,4,0,1,6,1,10
4954490,4,1,2,0,0,0,2,1,1,1,1,2,6,1,6,2,9
5085888,4,1,3,3,0,0,1,0,0,0,1,1,1,2,3,1,7
1092325,4,1,1,0,4,0,1,0,1,0,1,2,5,2,6,2,3
4124188,4,1,1,3,4,1,1,1,1,1,1,6,6,2,6,2,4
1433429,9,1,2,0,4,5,2,1,1,1,1,5,6,1,6,2,9
5241286,2,1,2,0,0,0,2,0,1,1,0,4,4,4,6,6,5
5279814,3,2,1,0,0,0,2,1,1,1,1,1,6,1,6,1,7
1828113,5,2,1,3,4,0,1,1,2,1,2,6,3,1,6,5,2
4344095,6,2,2,0,0,0,1,1,1,1,1,2,2,1,6,3,9
1934551,4,2,2,3,2,5,2,1,1,1,1,4,2,1,5,3,3
4404404,3,1,1,0,0,0,3,0,1,0,1,2,5,3,5,6,4
5533731,2,1,2,0,0,0,2,1,1,1,1,6,5,3,5,5,2
5565273,2,2,1,0,4,7,1,1,2,0,1,5,6,2,6,3,6
2530764,6,1,2,0,1,0,1,1,3,1,1,3,1,1,6,1,10
2820563,3,1,2,0,4,0,2,1,1,1,1,2,3,1,5,2,1
3876596,4,1,1,0,0,0,2,1,1,1,0,4,3,2,5,3,4
3086831,6,1,2,2,0,3,2,0,1,1,0,3,3,1,6,2,10
3138036,4,1,2,0,0,0,2,1,1,0,1,5,2,2,5,6,9
6176336,3,1,2,0,0,0,1,1,1,1,1,5,3,2,6,4,3
5101969,2,2,1,0,0,0,4,1,1,1,0,1,1,1,5,1,9
1435786,4,1,1,3,2,0,1,1,1,1,1,4,5,1,6,1,7
6347413,4,1,1,0,0,0,4,1,1,0,0,2,2,1,5,1,10
6354722,4,1,1,0,0,0,2,1,1,1,1,3,4,1,6,1,10
6377317,4,1,1,0,0,0,2,1,1,1,1,1,1,1,6,1,10
4315706,3,2,1,0,0,0,1,0,1,0,1,2,5,1,6,2,10
5350765,2,2,1,0,0,0,1,2,0,1,1,3,2,3,2,6,7
6546421,4,2,2,0,0,0,2,1,0,1,1,2,1,1,5,2,4
6531577,3,1,1,0,0,0,1,0,1,0,1,2,5,1,6,3,6
5509295,5,2,1,0,0,0,2,1,1,1,1,1,1,1,6,1,10
6724558,4,2,1,3,4,0,1,1,1,1,2,1,1,1,4,5,1
5533385,5,1,2,0,0,0,1,1,1,1,1,5,4,2,6,5,7
3551429,3,1,2,3,0,6,3,1,1,1,1,6,6,1,6,1,9
2487337,6,1,2,0,0,0,1,1,1,1,0,6,6,3,6,6,6
7085237,4,1,1,0,0,0,2,1,1,1,1,1,2,1,6,2,9
7277011,4,1,1,0,0,0,3,1,1,1,1,1,1,2,3,0,5
4895062,6,1,2,0,4,3,2,1,1,1,1,2,2,1,6,2,10
763932,3,1,1,3,0,2,1,1,1,1,1,6,6,4,6,5,4
1015072,3,2,1,0,0,0,2,1,1,1,1,3,2,1,6,2,10
7510650,4,1,2,0,0,0,2,1,1,1,1,5,5,1,6,2,9
7600025,5,1,2,0,0,0,2,1,1,1,1,2,3,1,6,3,7
7612780,2,2,1,0,0,0,2,0,1,0,1,2,1,1,5,1,3
6440311,2,1,1,0,0,2,1,1,1,0,1,5,4,1,6,4,5
5331957,3,2,2,0,0,0,1,0,1,1,1,6,6,8,5,6,10
1782025,5,2,2,0,4,2,1,1,1,1,1,6,5,1,6,4,8
5468528,2,2,1,3,0,2,1,1,1,0,1,6,6,1,6,5,6
6633898,2,2,1,0,0,1,1,0,1,1,1,5,4,1,6,1,4
2121666,6,2,2,3,4,4,1,1,1,1,2,2,2,1,6,2,7
7999480,6,1,2,0,0,0,1,1,1,1,1,3,2,1,6,3,9
6809123,3,1,1,0,0,1,1,1,1,1,0,3,2,1,6,3,9
6957476,3,1,1,0,0,0,1,1,1,0,2,1,0,1,6,3,9
7011068,4,1,1,0,0,0,3,1,1,1,1,4,4,1,6,1,7
8352777,2,1,2,3,0,2,1,1,1,1,1,6,2,1,6,5,6
3794752,6,1,1,0,0,0,1,0,1,1,1,1,1,1,5,3,9
5823568,3,1,2,0,0,0,1,1,1,0,1,6,6,2,6,5,8
8405906,3,2,1,0,0,0,2,1,1,0,1,4,1,1,6,1,10
2798948,5,2,1,0,0,0,1,1,1,1,1,5,2,1,6,3,8
8417946,3,1,1,0,0,2,1,0,1,1,0,1,1,1,4,5,7
8438803,2,1,2,0,0,0,2,1,1,1,1,2,4,1,6,2,4
5929803,7,2,2,0,0,0,1,1,0,3,1,5,2,3,6,6,4
3039318,4,1,1,0,0,0,1,0,1,0,1,3,6,1,6,2,4
8561259,7,1,2,0,0,0,1,1,1,5,0,3,2,1,5,2,9
8561259,7,1,2,0,0,0,1,1,1,5,0,3,2,1,6,2,10
7235317,2,2,1,0,0,0,1,1,1,1,1,6,4,1,6,1,4
8680775,1,1,2,0,0,0,2,1,1,1,1,2,5,3,3,6,5
8743524,3,2,2,0,0,2,2,1,1,1,1,2,1,1,6,2,4
8757189,7,1,1,3,0,0,1,1,2,1,1,2,2,1,6,1,9
6193892,4,1,1,0,0,0,3,1,1,1,1,6,3,2,6,2,6
7566359,1,2,2,0,0,0,1,1,1,1,1,4,2,7,1,6,2
8895784,2,2,1,0,0,0,2,1,1,1,1,6,6,2,6,2,7
8919250,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,6,0
1727019,5,2,1,0,1,1,1,3,1,0,1,6,3,1,6,5,9
9050684,4,2,1,0,0,0,2,1,1,1,1,3,2,4,4,6,4
9161942,2,1,1,0,0,0,2,1,1,1,0,4,2,1,5,5,8
7932374,2,1,1,0,4,3,1,1,1,1,1,1,1,1,5,2,4
7928159,9,1,1,0,0,0,3,1,1,1,1,2,2,1,6,1,9
7972090,2,1,1,0,0,0,2,1,1,1,1,2,3,1,6,1,10
8159288,2,2,1,4,1,1,1,1,2,0,1,6,4,1,6,3,4
9540917,3,2,1,0,0,0,1,0,0,0,0,2,2,1,6,1,9
2734240,6,2,2,3,0,1,2,0,1,0,1,4,1,1,6,2,10
8383326,5,2,1,0,0,0,2,0,0,1,1,2,1,1,5,3,8
8460137,2,2,1,0,0,0,1,1,1,0,1,3,2,1,5,0,2
9895590,3,2,1,0,0,0,1,1,1,1,1,2,2,1,6,1,9
9948365,1,2,2,0,0,0,1,2,1,1,1,2,2,1,6,1,10
10021798,4,1,2,0,0,0,2,1,1,1,1,2,2,1,5,2,10
8606082,3,1,2,0,0,0,2,0,1,1,1,2,2,2,4,6,8
866105,3,1,1,0,0,0,2,1,1,1,1,2,3,1,6,1,6
7565313,2,2,1,0,0,0,1,1,1,1,1,2,6,1,6,2,6
10470208,3,2,3,0,4,0,1,1,0,0,1,1,1,1,5,1,10
1360066,4,1,2,2,0,0,1,1,0,1,1,2,1,1,6,2,5
9001614,8,2,2,0,0,0,3,0,1,1,1,4,2,1,6,2,10
7847916,4,2,1,3,0,5,0,0,0,1,3,2,1,1,6,1,8
10761353,3,2,1,4,4,0,2,1,1,1,1,2,2,1,6,1,10
9191691,2,1,1,0,0,0,2,0,1,1,1,2,4,2,4,5,6
4369305,3,2,1,0,0,0,1,2,1,0,1,6,2,1,6,1,4
7879952,3,1,3,0,0,0,1,1,1,1,1,3,6,2,5,3,4
5444067,2,2,2,0,0,0,1,1,1,0,1,2,2,1,6,1,9
7898765,2,1,2,0,0,0,1,0,1,1,1,2,6,5,3,6,0
10891921,4,2,2,2,4,7,1,0,1,1,1,2,1,1,6,2,10
9426221,4,2,1,0,0,0,2,1,1,1,1,1,1,1,6,1,10
8117287,3,1,1,0,0,0,2,1,1,1,1,2,4,1,5,4,9
3693615,7,1,2,0,0,0,3,1,1,1,1,5,5,1,6,3,9
11368111,2,1,1,0,0,0,2,0,0,0,0,2,3,4,5,2,1
11389617,3,1,1,3,0,1,1,1,1,1,1,4,3,1,5,3,7
8421496,3,1,3,0,0,1,2,0,1,2,1,3,1,1,1,6,10
5873156,6,1,2,0,4,3,1,1,1,1,1,3,2,1,6,2,10
11511909,3,2,2,3,1,4,1,1,2,0,1,3,1,2,4,6,5
2881966,7,1,1,3,1,3,2,1,1,1,1,1,4,1,6,1,10
9827986,3,1,1,0,0,0,3,1,1,1,1,5,3,2,5,4,5
11660835,2,1,1,0,0,4,1,1,0,1,1,3,6,2,5,4,7
11708816,2,1,2,2,0,3,1,1,1,1,1,4,5,1,6,2,4
8795809,2,1,3,0,0,0,1,1,1,1,1,3,5,7,5,6,1
10326357,2,1,1,1,4,3,1,0,1,1,0,3,4,3,5,3,6
8817467,4,2,2,0,4,7,1,1,1,1,1,6,6,3,6,5,1
8958287,2,1,1,0,0,0,2,1,1,1,0,2,2,1,6,2,10
10516681,5,1,3,3,0,0,2,0,0,0,0,1,1,1,6,1,10
10744822,4,2,2,0,0,0,1,0,1,0,1,1,2,1,5,5,8
4323960,3,1,1,0,0,0,1,0,0,0,0,2,2,2,2,6,4
5418534,2,1,1,0,0,0,2,1,1,1,1,2,1,5,3,5,3
7979684,5,1,1,0,4,1,1,1,1,1,0,2,2,1,6,2,10
8052713,3,1,1,3,1,1,1,1,1,1,1,3,3,3,5,5,7
5511918,4,2,1,0,0,0,1,1,1,1,1,4,2,1,6,2,9
11152121,9,1,2,0,1,1,3,1,1,1,1,1,2,1,6,2,8
6797730,2,1,1,0,0,0,5,0,1,1,1,4,5,2,6,6,4
6797730,2,1,1,0,0,0,5,0,1,1,1,4,5,1,6,5,5
12820988,2,2,1,1,1,3,0,0,1,2,2,3,1,4,4,6,3
9602702,3,2,3,0,0,0,2,1,1,1,1,1,1,1,6,2,7
12937506,4,1,1,0,0,0,1,0,0,1,1,2,3,1,6,2,4
11437854,2,1,1,1,0,0,2,0,1,1,1,3,3,1,6,3,5
12962254,4,1,2,3,4,7,1,1,1,1,1,4,4,1,6,1,9
4736434,6,1,2,0,0,1,1,1,1,1,1,1,3,1,6,1,10
11621628,2,1,2,0,0,4,2,0,1,0,1,1,3,2,5,2,5
633924,3,2,1,0,4,2,1,2,1,1,1,6,2,1,6,1,10
5973363,4,1,2,0,0,0,2,1,1,1,1,5,1,3,6,6,4
13189251,3,2,2,0,0,1,2,1,1,1,1,2,3,1,5,5,2
13307293,3,1,1,1,4,1,2,1,1,0,1,3,2,5,5,5,3
6121579,3,1,1,1,4,2,2,1,1,1,1,5,6,1,6,2,9
6126223,6,1,2,0,4,2,2,1,1,0,1,1,1,1,5,2,6
12008333,2,1,1,0,0,0,2,1,0,1,1,3,3,2,6,5,5
12019335,4,1,1,0,0,0,2,1,1,1,1,4,4,2,6,2,9
8873360,3,2,2,0,0,4,1,1,2,1,1,6,5,2,6,6,5
12067235,7,2,2,0,0,0,2,1,1,1,1,6,5,1,6,4,9
12227384,7,2,1,0,0,0,1,0,0,2,1,6,1,5,6,6,3
12233429,2,1,1,0,0,0,1,1,1,1,1,2,6,4,5,5,2
12256413,2,1,1,1,0,2,1,1,1,1,1,2,4,2,6,3,5
13739342,2,1,2,0,0,0,2,0,1,0,2,1,1,1,1,5,5
8092777,2,2,2,0,0,0,1,1,1,1,1,4,4,1,6,4,9
14199382,8,2,2,0,4,0,1,1,1,3,0,2,1,1,6,2,7
12686966,2,1,1,0,0,0,4,0,1,0,1,1,2,1,4,0,9
12702649,3,1,2,0,0,0,1,1,1,1,1,6,3,1,6,1,9
12733349,3,2,2,0,0,0,2,0,1,1,1,3,1,1,6,1,8
6934848,6,1,2,0,4,1,1,1,1,0,1,2,6,1,6,2,10
2700018,2,1,2,0,0,0,2,1,1,0,1,4,4,2,6,4,4
11403289,1,2,1,0,0,0,2,1,1,1,1,2,3,2,2,6,8
2758284,4,1,2,0,0,0,2,1,1,1,0,3,1,3,6,6,3
14519078,2,1,1,0,0,0,2,0,0,0,0,3,5,3,5,5,1
9845443,1,2,1,0,0,0,1,1,1,1,1,2,6,1,6,1,10
8463184,5,2,2,0,4,0,1,1,1,1,1,3,1,1,3,5,8
5915861,3,2,1,0,4,0,1,1,1,0,1,6,6,1,6,2,10
5915861,3,2,1,0,4,0,1,1,1,0,1,6,6,1,6,1,10
11620721,3,2,2,0,0,0,1,0,0,0,1,1,1,1,2,6,0
14869998,6,1,2,0,0,0,3,1,1,1,1,2,3,1,6,1,10
10125315,2,1,1,0,0,0,2,0,1,0,0,2,4,3,4,6,7
14929667,4,2,1,0,0,0,1,1,1,1,1,6,2,2,6,3,8
3127634,3,2,1,0,0,0,2,0,1,1,1,2,2,1,5,1,2
15015767,1,1,1,0,0,0,1,1,1,0,1,2,2,1,6,1,10
13311251,2,1,2,0,0,0,1,0,1,1,1,4,5,1,6,3,8
11914540,2,1,1,0,0,0,2,0,1,1,0,1,2,3,4,5,8
15193065,2,2,2,0,0,0,1,1,1,1,1,2,4,7,1,6,0
11937114,2,1,1,0,0,0,1,1,1,1,1,2,3,1,6,3,7
13460044,3,1,3,0,0,0,1,1,1,0,1,2,6,1,6,1,8
15258034,4,1,3,3,4,0,2,1,1,0,1,2,2,1,6,1,10
13625143,3,2,2,0,0,0,3,1,1,1,1,2,1,1,6,1,10
13634442,2,1,1,1,1,7,1,1,1,1,1,4,5,1,6,5,8
1867163,4,1,3,3,4,0,1,1,1,1,1,5,3,1,6,2,7
14061917,2,1,1,0,0,0,2,1,1,0,1,3,4,2,6,2,5
5547516,2,2,1,1,1,0,1,1,1,1,1,1,2,1,6,1,9
16242187,3,1,1,3,1,3,1,1,1,1,1,4,5,3,5,6,4
9560268,3,1,1,3,1,2,1,0,0,0,1,3,5,1,5,5,4
14353935,2,2,1,1,1,1,1,1,1,1,1,5,5,1,6,3,6
12823803,2,1,1,1,1,0,2,1,1,1,1,1,5,2,4,6,2
2509219,6,1,2,0,0,0,2,1,1,1,1,3,2,1,6,2,10
12855227,9,1,2,0,0,0,1,1,0,2,1,2,1,1,6,1,10
12962890,4,2,1,0,0,0,1,1,1,1,2,5,2,1,6,2,9
9759008,1,2,2,0,0,0,2,2,1,0,1,1,2,1,6,0,7
13010019,1,1,2,0,1,0,2,0,0,0,1,3,1,5,4,4,3
16773702,3,1,3,0,0,6,2,1,1,1,1,6,6,1,6,3,9
14816714,1,1,1,0,0,4,2,1,1,0,0,1,1,4,3,6,1
17187656,2,1,2,0,4,0,1,1,1,0,1,2,5,5,5,6,1
13415542,5,1,2,0,0,0,1,1,1,1,1,1,2,1,5,4,6
7558927,4,2,2,0,0,0,1,1,1,1,2,4,3,1,6,3,6
17547422,5,1,2,3,4,0,1,0,0,0,0,3,5,1,6,1,9
13974789,3,2,1,0,0,0,2,1,1,0,1,3,3,1,5,2,9
16304334,2,2,2,0,0,0,1,1,1,1,2,2,1,1,3,6,5
16318656,2,1,2,3,0,0,2,1,1,0,1,2,4,1,6,1,8
18227718,2,1,1,0,0,0,2,1,1,0,1,3,5,1,6,1,10
6965858,3,2,2,0,0,0,1,0,1,0,0,1,2,3,1,5,0
18469794,3,1,1,0,0,0,2,2,1,1,1,1,6,1,6,2,8
14533929,2,1,1,1,0,0,2,1,1,1,1,2,5,1,6,2,9
11596977,5,1,2,0,0,2,3,1,1,1,1,2,0,1,6,1,9
11596977,5,1,2,0,0,2,3,1,1,1,1,2,0,1,6,3,4
18662684,3,2,1,0,0,0,1,1,1,1,1,6,6,3,6,3,8
16916053,10,1,3,0,0,0,2,1,1,1,2,1,1,1,6,2,9
14773672,2,2,2,0,0,0,1,1,1,1,1,6,5,5,6,6,4
17097306,2,1,1,0,0,0,2,0,2,1,1,5,4,2,6,5,4
18867920,3,1,1,3,4,4,2,0,2,1,1,3,3,1,6,5,7
19151353,4,2,1,0,0,0,2,1,1,1,1,6,1,3,6,5,5
15312202,3,1,2,0,4,7,4,0,0,0,1,3,3,1,6,2,6
19431364,2,2,1,1,0,2,2,1,2,1,1,3,4,1,6,1,9
11506383,1,2,2,0,0,0,1,1,1,1,1,1,4,2,5,5,7
18551688,3,1,3,0,0,0,3,1,1,1,1,1,3,1,6,1,8
8573456,2,1,2,1,0,2,1,0,1,0,0,3,2,1,5,4,6
17033013,2,1,1,0,0,0,1,1,1,1,1,5,3,2,6,5,7
13220014,2,1,1,0,0,1,2,0,0,0,0,2,1,1,4,6,3
10091161,2,1,1,0,0,0,2,0,0,1,1,4,2,1,6,1,5
19070347,2,1,3,0,0,0,1,1,0,0,1,2,6,1,6,1,8
17304041,2,1,2,0,0,0,2,0,1,1,1,1,4,1,6,1,10
10443493,9,1,1,0,0,1,1,2,1,0,0,1,1,1,6,1,10
21137088,2,2,1,0,0,5,1,0,1,1,1,4,3,1,5,5,9
19353014,6,1,2,0,4,2,2,1,1,1,0,5,2,1,6,3,9
21406002,3,2,2,3,0,2,1,1,1,1,1,3,1,1,6,1,10
19949547,7,1,1,0,0,0,2,1,1,0,1,2,2,1,6,2,7
22123021,1,1,2,0,1,3,1,0,1,0,0,2,1,1,5,5,5
7171892,2,2,2,0,0,0,1,0,1,1,1,2,2,1,5,2,10
20535780,8,1,2,0,4,0,1,0,1,1,1,6,3,1,6,1,10
22482567,2,1,1,0,0,0,2,1,1,1,1,1,6,6,1,6,0
18868401,2,1,1,0,0,0,1,1,1,0,0,6,6,6,4,6,3
18895509,3,1,2,0,0,0,2,1,1,1,1,6,6,2,6,3,3
18903392,2,1,1,1,0,1,2,1,1,1,1,2,5,3,5,2,4
7400921,3,1,1,0,0,0,3,1,1,0,1,3,3,1,6,2,9
18896450,2,1,2,0,0,0,2,0,1,0,1,5,6,4,6,5,6
20794324,2,1,1,0,0,1,1,0,1,0,1,2,2,3,5,6,4
15050054,2,1,1,0,0,0,3,1,1,0,1,6,6,2,6,4,9
17192995,2,2,1,0,0,0,1,0,0,1,1,2,6,1,5,1,9
17344509,5,1,1,0,0,0,4,1,1,1,1,3,2,1,6,1,9
17359108,4,1,1,3,0,3,2,1,1,0,1,2,6,1,6,4,9
8853241,2,1,1,0,0,0,1,1,1,1,1,4,3,3,5,4,2
23034220,2,1,2,0,0,0,1,1,1,2,0,5,2,1,5,3,7
23081762,3,2,2,0,0,0,1,2,1,0,2,2,2,3,3,2,0
1484494,4,2,1,0,0,0,1,1,1,0,1,2,1,1,5,4,2
21257326,2,1,1,0,0,0,1,0,2,0,0,3,4,4,5,6,5
15760204,2,2,1,0,0,0,2,1,1,1,1,3,1,1,5,2,6
21533653,7,1,2,0,0,0,1,1,1,1,1,1,2,1,6,2,9
21719594,3,1,2,0,0,0,2,1,1,1,1,5,5,2,6,4,5
23925341,1,1,2,0,0,0,2,1,1,1,1,3,4,4,5,6,4
23956282,4,1,2,0,0,0,0,1,0,0,1,6,1,2,5,5,5
21751430,2,1,1,0,0,0,2,1,1,0,1,1,6,7,3,6,0
5506626,3,2,2,0,0,0,1,1,1,1,1,3,3,1,6,2,8
21762235,2,1,3,0,0,0,2,1,1,1,1,2,6,1,6,5,5
24013584,1,1,1,0,1,0,1,1,1,1,1,2,3,3,1,6,8
12603070,3,2,2,0,0,0,1,1,0,1,1,1,1,1,5,2,5
14186634,2,2,1,0,0,0,2,1,1,1,1,5,2,1,6,3,9
24531793,2,2,1,0,0,0,1,0,1,0,1,2,3,1,6,1,8
22233684,3,2,1,0,0,0,2,1,1,1,1,4,4,1,6,2,7
22261633,4,2,1,3,0,5,1,0,1,1,1,2,4,1,6,2,7
24618980,3,2,2,3,0,4,1,0,1,0,0,6,0,3,6,6,5
18570648,1,2,2,0,0,0,1,0,0,0,0,3,1,1,6,3,9
26056078,2,1,1,0,0,0,2,1,1,1,1,6,6,3,6,6,6
20634320,2,1,1,1,4,0,1,1,1,0,1,3,3,1,6,3,8
26535554,3,1,2,0,0,0,1,1,1,1,1,4,5,1,6,2,10
26575874,2,1,1,0,0,0,3,1,1,1,1,1,6,1,6,2,4
19262142,2,1,2,0,0,0,1,1,1,1,2,2,2,3,5,1,2
23115026,4,2,3,0,4,8,1,0,2,1,1,5,5,1,5,5,9
27015748,2,2,1,0,0,0,0,1,1,0,1,1,2,5,1,6,0
23136435,1,1,1,1,0,1,1,1,1,0,1,3,2,2,4,4,5
