Region,Zone,Type,Year,Season,Month,Day,Hour,Latitude,Longitude,Altitude,t2m,ws,wd,tp,blh,ssr,CVD60,no2,o3,so2,co,pm10,pm2.5
South East,Greater Manchester Urban Area,Background Urban,1998,Summer,10,14,20,51.5270591189649,-0.151878876440044,-1.78541316975255,281.222959730261,3.75969289221785,268.802407524011,0.0025588036061377,372.260594692407,1804174.05231704,0.202512854117746,50.9870366125561,28.4799405807415,16.7272167901553,-0.0153778500211661,13.0980106421792,17.9474732424204
Greater London Authority,Greater London Urban Area,Traffic Urban,1988,Fall,9,26,23,52.6104296969543,1.35042176772757,73.6657577288123,283.621673390981,12.1835354594943,237.72299301345,0.0005774421238942,1458.75072241851,2476148.96043078,0.15618962903102,76.3424132948431,17.7559522523593,13.8140161696334,1.44154191513387,36.4783209031412,18.6351607543976
Greater London Authority,Greater London Urban Area,Background Urban,1994,Fall,8,9,17,54.2545488146814,-1.19203771349083,-26.9033401859682,291.612905187441,4.78144938346771,70.1100086342145,0.0008252572514243,573.809360703913,4214099.21043341,0.123298741740034,62.3655961776359,20.0718735432643,37.6430768638718,0.886280895720469,38.6804617479542,18.6414446626661
East of England,West Yorkshire Urban Area,Background Urban,1982,Winter,2,19,5,51.2305171568312,0.312282378096878,-9.79697055627442,278.360866308816,6.22737115719873,109.475708026601,9.66451851083111e-05,837.486441520721,17600.6750602454,0.226918387956557,76.2423702629724,17.7930467834418,13.8402399107371,1.44084678746828,36.4544535758219,18.6362356939008
Yorkshire and The Humber,Birkenhead Urban Area,Traffic Urban,1984,Summer,6,27,13,52.0946744284327,-1.45461934754528,-142.626304996694,285.416917417167,3.7783685195627,314.940928214712,0.0007665139821673,2155.49686359752,9621330.81028416,0.137742897802576,79.5390918121794,23.2659579983034,8.81405736837134,1.51217111672988,34.9303376306329,18.6431669227295
South East,Teesside Urban Area,Traffic Urban,1996,Spring,7,14,4,52.1941662493754,-4.81639515269374,-18.5986621471498,283.690622724123,5.35288515151657,276.58928758932,-0.0002338213385374,591.207616815469,-16.7321309336306,0.235935827930576,76.2480600406861,17.7685223529228,13.8199233357367,1.3993903930782,37.0461141151843,18.6422958029299
South East,Greater London Urban Area,Background Urban,1999,Winter,12,4,1,52.793815398075,-1.50088872627541,85.6328225472837,272.399284567955,4.58752977400156,269.835570094193,-0.0023296519334989,268.642328199153,479729.014642455,0.288432225781584,45.8752257621646,10.3288409188349,-0.0272352618123168,0.47595376988238,25.6455022010535,17.6873783268156
East Midlands,Southampton Urban Area,Traffic Urban,1985,Summer,7,27,13,52.5179711689227,-0.547523834997325,119.005621627908,290.6266244543,5.78336550111865,214.177699289444,-0.0001468734628835,1492.56010352728,8187447.896343,0.151360971866519,75.0402279362258,8.4515031376195,4.85401282009524,1.13154655880606,34.5564885387423,18.6454221962608
Greater London Authority,Greater Manchester Urban Area,Traffic Urban,1991,Winter,4,23,7,53.3045832549532,-0.143671501098925,-14.5982337706552,278.598739652734,3.79180226230074,345.818620411599,-0.0004643874558741,150.658258225484,134674.622751431,0.126090725531478,76.3168324875816,17.7090760000954,13.7943178478798,1.44478765762061,36.4960239262272,18.6362337733316
Greater London Authority,Greater London Urban Area,Background Urban,1982,Summer,1,30,17,50.2435393902997,-2.02429037935535,70.796724733822,277.769451783525,5.75343508929186,283.585858367353,1.10072779975375e-05,533.124715923437,1830645.09109403,0.174756627354531,76.3327612733903,17.7373223347403,13.8122203551896,1.47553130305601,36.4920827987766,18.6436222670479
Greater London Authority,Coventry/Bedworth,Background Urban,1986,Fall,12,13,2,51.2594127822883,-1.7483876774813,25.8603443320239,278.636567562901,7.90404403016182,177.547875904068,-0.0017882762480266,799.612857023286,1159932.44851894,0.160590327816778,76.4417654574076,17.732650058307,13.7987188114998,1.4417016214698,36.4649837338932,18.6420665586555
West Midlands,East Midlands,Traffic Urban,1984,Spring,8,20,17,49.5738996654684,-3.29219784458742,225.894919969479,295.66823759472,5.85003595071528,102.644997349548,0.0012499275198208,1225.52462529681,7769736.78087078,0.232605126772965,76.3132605188309,17.7347075212078,13.8430273873935,1.44327396101573,36.476561348653,18.6466893293387
South East,Greater London Urban Area,Background Urban,1984,Spring,3,3,14,55.233194105775,-0.57393109857128,63.710269046857,277.837104580184,4.96497317988929,319.920292826175,1.60650963558683e-05,1390.05183626796,1005343.18645562,0.199068658188619,76.3140023867781,17.7470681930713,13.8183132213885,1.45515804500838,36.48182990792,18.6361535108222
North West,West Midlands Urban Area,Background Urban,1987,Spring,12,26,4,53.0262266325826,-1.97204935883222,26.6677165145787,276.448160624788,4.19488937094952,223.952476361509,-4.80042031774758e-05,629.056490718177,13.3993220716273,0.189019891817782,53.5209143236302,17.7673641418552,13.8138207939225,1.44192130866613,36.4732134936736,18.6417157467803
West Midlands,Greater Manchester Urban Area,Background Urban,1996,Summer,10,18,15,54.3522016104593,-1.38381982974184,143.183654917306,286.996834592483,10.8272763325645,231.164355484786,-0.0001662574155739,1217.47750328287,3195320.48378251,0.146070489255743,57.2047735412272,26.911616496814,20.7551436292429,0.668285090535491,31.357951556351,18.6360895348354
Greater London Authority,North West & Merseyside,Background Urban,1983,Summer,3,31,21,52.3995273558029,-2.25826892334693,204.900635897662,279.77392483648,4.07621713326396,217.428564587461,0.0002595504541081,182.387768078075,6858935.56506692,0.19903865311308,76.2097100419803,17.7570967559251,13.8547302364147,1.44322568751689,36.482496585798,18.637856889253
North West,Leicester Urban Area,Industrial Suburban,1985,Spring,10,19,18,53.4610319633519,-2.08033032789995,71.3799989302295,282.178250444949,1.6554157949317,103.763182030267,-0.0011760026580778,153.154285874465,5570204.84760876,0.221360285482458,5.6308676304115,17.59669871273,-2.9598639436833,1.31023215122758,39.6823475492081,18.6373385056219
Yorkshire and The Humber,Eastern,Industrial Urban,1996,Summer,11,27,4,51.5138457718249,2.09114007931779,-69.5819531453494,278.778988683656,2.70435924275803,115.222109407782,0.0012393612541242,-39.347625473738,49.1892683640416,0.166678127863779,76.2706813222714,17.7165899254595,13.818759464285,1.43258399597795,36.3992114176595,18.6341858852991
North West,Eastern,Traffic Urban,1988,Spring,6,28,14,52.1270846719947,-1.26326796934885,46.607396788523,288.529262676755,2.44362051536585,422.435325062935,0.0006443332717899,1866.95664596381,8208504.77105865,0.182799665389073,76.3954116614273,17.7407747972941,13.807776817562,1.44239982969106,36.4764542122238,18.6416612222412
Greater London Authority,Greater London Urban Area,Background Urban,2000,Fall,2,9,23,52.1492270496107,0.77562242226342,-8.09193621730734,277.246100669626,11.151830790225,254.739150261055,-1.25373226257811e-05,749.22430196195,4763329.65615426,0.174093525718389,59.9366896830903,33.7416846346253,19.3535148437675,0.925131827251135,36.1323215289005,19.0098246497597
Yorkshire and The Humber,Greater Manchester Urban Area,Traffic Urban,1999,Summer,6,22,7,51.508068997183,-2.47932368272877,74.1815737203898,283.944673157865,3.54913663405449,313.78912931251,0.0015562516690003,472.52446374085,238871.492238864,0.159651749929235,99.0363583329731,10.4126190451965,19.825083133083,0.790723832464179,40.2237913376585,18.6197443650498
South East,Greater London Urban Area,Traffic Urban,1986,Fall,12,1,17,52.5686675406556,0.242641481361746,46.7979267206656,285.181024748201,8.93045119277743,223.958059087041,-0.0061489753789219,1195.05822267663,6352649.83153144,0.182160535093914,78.2193248496421,17.7559795637083,13.8085610778354,1.44164134821029,36.4748298787544,18.6401261807369
West Midlands,Eastern,Background Rural,1990,Spring,11,10,11,51.0248801242334,-2.31325992394484,186.715223402744,285.352020649237,5.29612590911651,146.302179737119,-0.0028129031226881,679.828281519298,3806011.08154103,0.19114267977267,76.1247426221703,49.4158113469631,13.8039710927073,1.44275934760535,36.4798419477772,18.7622859668776
North East,Greater London Urban Area,Background Urban,1993,Summer,7,17,19,52.9658536416997,-0.324254176124171,37.4606917488356,287.912079378407,6.84510261743918,264.496819035227,0.0022873723804516,328.348754627372,3465596.32797728,0.184844243292655,63.9802065502948,4.9525402560468,24.9323599373233,1.28090521546442,40.6831765676493,18.6348034311152
Greater London Authority,West Midlands Urban Area,Background Urban,1997,Spring,11,11,17,53.0757671471748,-2.45758160101278,184.142044929156,279.522111125272,4.75142785511211,250.434847517128,-0.0006383681585647,488.266580463226,1769299.89020826,0.155944663080195,46.9141458286621,28.4928235484368,3.60023226716847,0.339973426492788,21.3753257153881,18.641787850982
Yorkshire and The Humber,East Midlands,Traffic Urban,1991,Summer,9,11,3,52.6322682547765,-0.562832482790281,-60.3751572024635,288.504671237942,2.18008609486667,88.8128143301953,0.0001945995009088,38.6096971790012,1610841.36582831,0.16145223653734,76.3674013858505,17.7594152123921,13.8063195015173,1.44193550854941,36.4758641938956,18.644912073813
Greater London Authority,Teesside Urban Area,Traffic Urban,1992,Summer,7,8,10,52.0794001266386,-3.24855179491254,84.19318114299,290.164255853727,0.6438602944096,94.7480712579817,0.0013248466446789,720.243963758124,2927260.31226748,0.117127318402004,76.3750385866297,17.8115360999355,13.8165763952488,1.4431864529201,36.470147623399,18.6486353348856
East Midlands,Tyneside,Background Urban,1989,Spring,8,14,7,50.3849229230698,0.806539787888294,258.719661341779,289.347961633239,6.57574241454675,219.296439318447,0.0008854820296358,602.448198488365,-107436.04331283,0.197549064495323,76.2617752309452,17.7734744262137,13.8134457421618,1.44336069350096,36.5126605458724,18.6468723365585
East of England,Coventry/Bedworth,Traffic Urban,1985,Summer,10,11,14,51.7065742938406,-1.9335129339447,121.644714340504,285.893452898047,1.77816056425004,205.933026058128,-0.0006518128066581,1165.55726723925,6078760.17721488,0.258671162381264,370.565587578263,26.1612383003148,16.2330856713078,1.23620795716799,36.5034896665093,18.6384107221707
East of England,West Midlands Urban Area,Industrial Suburban,1984,Fall,5,14,5,50.099222972143,-0.511946130025214,166.002869407715,279.718725946846,4.8972956176704,40.3532946625262,0.000755694854218,143.287698306642,48014.0920961383,0.231130278948568,48.6639492884701,23.0940896188701,8.98534655219974,1.38634011271178,30.972199408968,18.6435114372781
North West,Greater London Urban Area,Background Urban,1995,Spring,12,20,16,52.1290855259037,-2.18784062717154,-143.426448865803,279.095045401279,6.15203541500288,51.4228918503018,-0.0008017213901032,456.86775007848,3364805.76354816,0.201689140293666,46.5818344498958,22.7935651740771,14.6671771483376,0.651451624689769,32.5274905470484,18.6435549931152
Greater London Authority,West Midlands Urban Area,Traffic Urban,1991,Spring,1,18,0,52.9397599939299,-0.448314256953893,80.8849206027976,268.433907696947,-5.78222444347979,171.500407291892,-0.016300709094583,-638.792019534179,7889888.7144855,0.202652003440213,76.3686774496154,17.7557186482046,13.7818052168378,1.44131448662437,36.4672464292844,18.6362335300357
South West,Greater Manchester Urban Area,Industrial Urban,1987,Fall,4,22,14,53.5540741019489,-2.83144338098431,2.34154831836656,290.761643736049,7.15690875353252,129.049779160135,-1.07092570671799,1387.86717657622,2012867046.46636,0.0921847631692597,467700.210761589,40.8889214090181,170379.736509168,1.31740479116333,38.3790406972933,18.6560125960129
South East,Greater Manchester Urban Area,Industrial Suburban,1981,Winter,5,8,0,53.2426116358125,-2.74679214007385,293.231338464028,276.948207671447,2.28667689854766,220.46298569679,0.0026078190975322,353.113837583821,3742032.27237753,0.154656779885611,76.3442934526799,17.7623787608252,13.7873426921422,1.44161522569956,36.4576807377578,18.6346885031666
South East,Tyneside,Background Urban,1991,Fall,8,4,21,51.1341421967237,-1.526406233968,110.236149287023,291.956845588571,3.23291681838277,192.463319473513,0.0019112091010681,558.473967083409,6329785.56992154,0.198441143750656,76.2909194262654,17.7784524456594,13.8352670481503,1.44337404583306,36.4375861735672,18.6421145115385
Greater London Authority,Greater London Urban Area,Background Urban,1984,Winter,9,19,21,51.8500934463077,0.196818462048008,24.4495389699202,284.988934804329,4.18942871677705,266.750410831854,-1.16022670083987e-05,480.723054731229,4137499.17369764,0.151353784171639,76.3127731380098,17.746925637779,13.818313507231,1.45515809116072,36.481829301887,18.6395426976543
West Midlands,Yorkshire & Humberside,Background Urban,1999,Summer,12,15,16,53.2183679203433,-1.22914542514866,3.46451695742911,275.124275017145,6.21833350142556,370.592419904677,0.0025667268367518,804.470976103639,-587931.218863935,0.191305602943742,36.4196023094132,62.8737863229338,14.4640053643312,1.44255413261556,35.6419617676863,18.647788481391
North East,Greater London Urban Area,Industrial Urban,1983,Fall,11,10,8,53.5598518374931,-1.40539430057344,196.323340017125,274.655390199479,1.79035445056084,86.6221961020541,0.0028522204719894,57.9249388071112,-13146.308212435,0.161695554351469,76.3003344138734,17.7416851224944,13.8063755988698,1.45133394760332,36.4792530265826,18.6384434556347
North East,North West & Merseyside,Background Urban,1989,Winter,6,1,1,52.75632036619,-2.80923057429431,56.4888301593366,289.702721942426,5.50666545196899,119.894306288843,0.0002428700596492,737.696475241814,8798898.30832687,0.222120302639675,76.2726771809396,17.7374195251789,13.7905135917967,1.44206076997778,36.4953922676961,18.6404081557077
North West,West Midlands Urban Area,Background Urban,1999,Spring,7,16,17,51.7587370809249,-0.966944514275174,20.6934342489718,292.494649129633,6.20388781621817,257.018087301034,-0.0001574048965299,1711.05645649922,9245118.60554087,0.188004567069973,2.80900978558002,72.0328366569957,6.97705244697006,0.0768522737475094,18.3934385233691,18.6458160048661
North West,South East,Background Urban,1991,Spring,3,28,7,52.3644317712146,-0.267750376071718,55.5819447014676,280.836867908478,5.12415872023554,63.4053102503251,0.0015006899669065,522.70581561901,-48632.0504100073,0.171617501056982,76.3064712020261,17.7631643078563,13.7921205442729,1.44174029078619,36.4839725398416,18.6421409104242
Yorkshire and The Humber,Teesside Urban Area,Background Suburban,1983,Summer,10,25,15,52.2637551654491,-0.503907702950928,78.810091080064,285.909579053163,7.92826683382082,233.181734465702,0.0011461049374736,799.927080133135,443905.21858563,0.225812500522129,76.3777947681074,17.7433412848517,13.7920826971903,1.4408801968747,36.4934940345601,18.65315161743
East Midlands,Yorkshire & Humberside,Traffic Urban,1981,Fall,2,12,22,51.3634980498047,-2.40253430157745,196.013111231774,274.709810803364,5.75149012728215,189.641374016624,0.0016177977148808,391.797400416506,517383.693808178,0.190152943404725,76.3066176461598,17.7851372867849,13.818158950814,1.44246458593565,36.472986059295,18.6433289679787
East of England,East Midlands,Background Urban,1986,Spring,1,25,6,53.0327680471031,-2.82667804309948,-13.0669889228787,280.995034582846,10.6267040883479,320.987238745508,0.0003167933741215,1063.84465129645,-6526.25777493406,0.143507132606481,76.2976807855044,17.7487862048173,13.8144178428164,1.4416442951187,36.470438723195,18.6361522751655
South East,Brighton/Worthing/Littlehampton,Traffic Urban,1999,Fall,5,12,2,52.3373196881024,-0.751469259844941,-10.8808938573717,285.436217439949,5.89793701037423,236.040101039478,0.0022334411072092,384.865497950798,4435133.26876082,0.133636293168418,222.112013165265,17.7522917719888,13.8246069796055,1.06320513882185,36.4734336459301,18.3282163822216
South East,West Yorkshire Urban Area,Background Urban,1991,Winter,8,31,8,52.3573226725895,-0.186638531380889,88.8765979013768,288.253917927417,2.54756577058501,78.5329396356529,-0.0005790633617777,454.246365152335,998245.245422174,0.211300896735732,76.3904107646436,17.7327062789393,13.8107715970846,1.43955816091348,36.4713906976157,18.6421084258026
East of England,Greater Manchester Urban Area,Background Urban,1997,Summer,7,13,8,53.3083784741148,0.701927682023898,149.242001350724,288.33104060785,0.210240076303716,200.774718054544,-1.02445744258959e-05,410.396765291574,1478605.32156066,0.146391331716849,37.1504990059712,46.211599855652,29.536797193304,0.951551147424432,17.2903548849355,18.6489250014785
South East,Southampton Urban Area,Traffic Urban,1993,Winter,1,24,8,53.0105419856198,-1.48185578268672,-50.9510376632374,277.199279534119,10.5109243198833,254.869741098186,9.76959762057921e-05,1105.22142061381,50980.4375091438,0.190669950165981,64.6615844389866,27.6548564317779,6.15319983810887,0.493453774892802,34.5564882479578,18.6366856477821
South East,Tyneside,Traffic Urban,1981,Fall,10,8,6,52.1336391636568,-2.00969444002311,141.828054625113,273.982777810375,4.88678116740719,227.238579778834,0.0002152822237404,434.656046094905,165250.895002246,0.198689724479076,76.3298602833749,17.7371886499493,13.7970481678119,1.44232308205814,36.5181415231518,18.6353830942069
North East,South East,Background Urban,1985,Fall,8,27,22,52.0762002584812,-3.7351386166724,-9.55626171931789,286.416424959204,7.78132605849971,209.820663543252,0.0052212726737188,1093.72108336198,4963821.56226847,0.122299252564198,76.3373318105266,17.7567565534946,13.8046252689633,1.4420252412036,36.5081802354435,18.6451249354859
North East,Eastern,Background Rural,2000,Spring,11,4,0,50.93856213999,-3.40346934893217,82.9024857771711,280.428947481497,4.23276448872857,266.389458648572,0.0001685526045943,753.552628287038,3019033.35185583,0.195112791640817,119.49509940257,65.4311236557503,5.08335566852566,1.33050873597172,34.898901611739,18.7100306881359
West Midlands,Greater London Urban Area,Background Urban,1981,Summer,2,13,20,54.4461295127829,-1.75149093348176,54.9986697800967,272.016326938032,1.62503987463639,132.842979084567,0.0025321126532542,-8.93221437907889,-421346.638418095,0.178784732219619,76.307165722253,17.7503170035477,13.8104397733631,1.44132366073351,36.4590620638128,18.6392513310698
North West,Blackpool Urban Area,Background Urban,1985,Winter,5,26,0,52.275100464685,-1.74986674105323,141.275176780387,282.072839820332,5.90982663345034,174.784337268399,0.0017773639510609,614.327929870372,7802614.00155257,0.155938788868997,76.2229510681901,17.76837071202,13.8412693421408,1.44083595016953,36.4930737719841,18.6398035910383
West Midlands,Blackpool Urban Area,Background Urban,1988,Fall,5,9,17,51.9829357507157,-0.267483574318397,55.7442266045675,288.720299334044,4.50426718838721,332.293290907763,0.0010106473540169,1703.71504991705,4058039.76552988,0.225816420164978,76.2544633182611,17.7906588396634,13.8223208193047,1.44177434193971,36.4312557416546,18.6372533454349
West Midlands,West Midlands Urban Area,Traffic Urban,1998,Spring,8,4,22,50.7576177517409,-1.00150049893887,117.339592418797,287.974306048525,3.81813413433372,294.969496630471,0.0006544515152537,129.84838542506,4832639.34531201,0.247814307018359,76.3011741268941,17.7442512300405,13.8087748602198,1.37295277784281,36.3945495447238,18.6398595187953
South East,Yorkshire & Humberside,Traffic Urban,1990,Summer,6,21,22,52.4989196910361,-1.58906934718728,69.4511297121933,286.224850712402,5.17692404527777,201.60258345011,-0.0015465903223692,645.759412499141,7369072.82217785,0.166211249097612,76.3847564166666,17.7396476078305,13.8208313237441,1.44281484013294,36.4952900862112,18.6343116848134
Yorkshire and The Humber,Greater London Urban Area,Background Rural,1998,Fall,6,25,12,51.1416917408002,-1.36324173046747,-138.766626086062,289.324385773674,4.79522434132109,230.014719532079,-0.0057934419667253,1851.20668230167,10525744.1121102,0.233283028171336,72.6183555802745,47.1341938353716,22.4271199206888,1.27350704979728,35.6293326663659,18.6385487795548
Greater London Authority,South West,Background Suburban,1988,Winter,1,11,17,52.0573602311194,-1.55266762341353,119.028150496675,284.441855440325,9.22843775934406,243.837642105303,-0.001388249295434,902.601665378232,4470443.17425303,0.223688608037946,84.1727440028708,29.107707094095,12.9099728303443,1.19617280461251,34.3135880550986,18.6339205008611
South West,South West,Background Urban,1989,Fall,11,12,16,51.5420986610276,-1.08128564666826,70.5867663780619,282.435909885372,3.48178391944907,121.321569821846,0.0006262450874416,181.389936670803,894252.578777697,0.186512146113887,76.3377096365686,17.7906994272919,13.8191427822473,1.44246929736492,36.4783551433783,18.6482961069882
Greater London Authority,South East,Traffic Urban,2000,Fall,2,4,5,52.4057502605345,-1.14897840754371,-44.450866327218,276.361435813945,4.88769545883983,235.336720254365,-5.62200996660067e-05,564.847522654721,-71549.2290828474,0.184131918684141,48.4249930735395,17.7639145443803,0.0846646576470909,-0.0847810474301198,35.1523540924563,23.260023377928
South East,Greater London Urban Area,Background Urban,1986,Winter,11,25,2,51.6532213259589,-2.84660756733714,-96.6810286729861,271.254782682724,-13.9932877078486,215.084526770149,-0.0054332380042123,-1347.77374088683,8906814.56909987,0.158691343988798,76.3301871462927,17.7562068657501,13.801306724922,1.4415926422002,36.4757789830774,18.6412676588925
West Midlands,West Midlands Urban Area,Background Urban,1989,Fall,9,12,1,51.1264045365507,-2.47829722543782,135.158975465245,288.204941458745,1.34386784505288,43.3834102725829,-0.0015757166949345,-156.636970401413,13734921.1890778,0.119873671916117,76.6943219245229,17.7385352718238,13.8078143862412,1.44192561037271,36.4866635049276,18.6424077310962
Greater London Authority,West Midlands Urban Area,Background Suburban,1983,Spring,1,4,16,51.7591697092497,-2.67667714336541,57.9382463322967,282.226201606436,9.96427502088099,268.25784774515,-0.0011726125451077,1259.45507251775,2141209.70779706,0.134300094250678,44.376329091425,20.3074559305103,7.12902702413103,1.26520006800938,31.9885287912643,18.6397255661358
Yorkshire and The Humber,West Midlands Urban Area,Traffic Urban,1993,Fall,3,2,7,51.9307517009734,-2.04778150034425,44.2876957133108,274.972532679006,11.600890963712,69.1816341556809,-0.0004461793951588,1197.29562754228,-66646.7457576791,0.0667187838999362,76.3256820530216,17.7382288141173,13.7939217053404,1.42957891723748,36.8976116017911,18.6383184396485
Greater London Authority,South East,Background Urban,1991,Spring,10,1,11,53.6743308008235,-0.958921992346388,132.575356744954,284.153552496025,10.1735370948558,263.171494679225,0.0002910914477457,867.86160011609,1526138.66401674,0.160400563689769,76.2945947681818,17.7633195736857,13.792120967773,1.44174040172734,36.483971796318,18.6361054449312
West Midlands,Kingston upon Hull,Background Urban,1986,Summer,11,14,12,53.6313045204525,-3.70227613446157,48.6791139153331,282.252977247569,7.4256924389266,173.473681541674,-0.0006909511563343,1130.93431198044,3046095.21462641,0.179887307003048,77.2557607876885,17.7643136461815,13.8203868356804,1.44107906727078,36.4853616160019,18.643616395037
East of England,Greater Manchester Urban Area,Background Urban,1989,Summer,11,24,7,51.9051860105537,-0.504809666553002,-81.1468761389691,275.832605749875,2.61232134007278,25.1215980305732,-0.0012948280122772,336.537913602597,138005.981388572,0.14903766839211,124.514683391594,17.7389893231072,13.8065805477263,1.44082501071837,36.4863636193588,18.6449943509103
Greater London Authority,South East,Background Urban,1993,Spring,3,17,16,52.3145731691961,-0.77738776548757,104.403766187485,281.766982266536,7.76688655498146,245.805967329052,0.000304440875489,907.466267592003,1144361.62226975,0.171393074523623,76.3013584816664,17.7394959551671,13.8322008922979,1.44213935696971,36.4621537369588,18.640657486951
North East,Brighton/Worthing/Littlehampton,Background Suburban,1996,Spring,7,14,12,53.6886188078321,1.02513021225976,-13.7594680079289,286.258551860626,3.29029472742525,282.798691069277,0.0040338001376222,-309.259852017821,-1898331.21897897,0.206124322257554,93.4155945736861,17.7780626174932,13.8152248916455,1.63630856430825,36.4508634561692,18.6447975604702
North East,West Midlands Urban Area,Traffic Urban,1986,Fall,7,28,22,52.7498962480714,0.379628907467268,19.045167844704,290.377394222469,6.01619801728171,194.610957611552,0.0011678272765098,199.242540958763,6655823.34562685,0.186058184591397,76.3524869010615,17.7594831524976,13.8160146987773,1.44082127581912,36.4707800684815,18.6398350588771
