A,C,D,H,I,O,T
adult,mild,0.0,none,40.3314820705258,180.000706834233,348.872267026144
adult,none,0.0,none,90.482544670485,109.338114191398,308.579372029717
adult,none,0.0,none,101.640234590224,161.318094106368,385.882241906037
young,none,0.0,none,114.526978729521,56.4316815989069,272.019098817574
young,none,0.0,none,86.7063272802743,54.0403483350215,257.131930335889
young,none,0.0,none,51.8621863340203,50.154596502642,233.658306915663
old,mild,5.4893827097664,any,3194.12654265593,323.292467586532,3694.38947802744
young,none,0.460286708502774,any,253.029133659996,61.968804760642,455.607382697673
adult,none,0.0,none,130.823951857185,137.111693763156,395.178250826916
adult,mild,0.0,none,74.8282796962753,158.070900057638,379.505935500464
adult,none,0.0,none,35.6770204674688,204.881944326402,369.596796425474
young,none,0.0,none,52.8190628342011,74.3187846208496,260.729329235469
young,none,0.0,none,84.4279424769141,55.9226950487468,273.487772045734
old,mild,5.56696752379241,any,3272.70648981888,302.732705196177,3762.33631381993
young,none,0.0,none,111.339057914627,60.000691775969,300.857828370061
old,mild,0.0,none,145.185134890385,370.875523485321,650.726834063002
young,none,0.0,none,147.111788472019,61.072095899579,318.955117312104
young,none,0.0,none,71.3151124412845,43.9139994526012,248.285038232775
young,none,0.0,none,76.8174194167297,68.7063292278314,273.426716444695
young,mild,0.0,none,86.6962630121616,57.4302146044471,267.341522660197
young,none,0.0,none,78.5211944281899,63.5603376587279,284.059235380851
old,none,0.0,none,56.2300513316524,416.154717281227,627.189516882408
old,none,0.0,none,95.0742946829054,425.607951482011,657.90223491078
old,mild,0.0,none,76.341429370494,422.917732589171,629.740546421678
young,none,0.0,none,125.805427984014,66.0531346328318,326.221693761825
adult,none,0.0,none,53.6492244396461,177.898529208435,366.159368635261
young,none,0.0,none,107.047471307108,38.9307738022081,274.169288747257
young,none,0.0,none,169.140128087896,75.6588704493125,352.027342932772
old,none,0.0,none,131.553106384558,347.857724040464,626.735388698965
adult,none,0.0,none,114.183302120195,170.114080487473,402.963851997642
young,none,0.0,none,100.439970177212,58.4219791087739,278.161426005842
old,mild,5.6306079494958,any,3277.35403472221,326.039401779506,3795.85211334521
young,none,0.0,none,65.7063517863517,72.7339735997136,252.238346097963
adult,mild,0.0,none,67.7329603013976,155.375932524246,358.766455986543
adult,mild,0.0,none,108.233792304412,203.777382120044,428.108207117802
adult,none,0.0,none,104.709258671597,168.832104875375,396.945559521764
adult,none,0.0,none,143.948645115646,190.657456938693,464.720872067442
adult,none,3.88743812912846,any,1291.03285201011,184.748717102181,1613.80067893474
old,mild,0.0,none,78.8777730593842,376.318401075792,591.656059177386
adult,none,0.0,none,120.245172677494,166.695498526717,424.913802668266
adult,none,4.88463732663484,any,1565.88721565779,222.001916661742,1942.46782186246
young,none,0.0,none,77.8300949476676,59.6473201249582,261.248037353081
old,severe,6.78156505685399,any,5391.44589090633,296.458326321306,5937.97187308886
young,none,0.0,none,84.7744940894291,63.2859344932818,284.345543884553
young,none,0.0,none,125.917969510629,38.7632928928819,291.566015626179
adult,none,0.0,none,113.689665203216,172.519731468804,416.062299818051
young,none,0.0,none,116.691397388063,66.5281896817764,304.692610736098
young,none,0.0,none,110.696322831346,59.9292703872159,307.592259244488
adult,none,3.17367300412086,any,1056.20355817862,204.32930389203,1422.82187728901
young,none,0.0,none,123.970106472538,63.9214815071502,310.029312988873
adult,none,0.0,none,100.012490290201,155.34394154267,386.440115336571
old,mild,0.0,none,33.6209043022404,368.924255505045,535.052239252508
young,mild,0.0,none,123.369127125172,64.7233268146073,307.66729229333
adult,none,2.56463279846206,any,861.925259614967,210.148061359592,1226.78369065364
adult,none,0.0,none,117.818612662195,182.628427595146,435.5165375993
young,none,0.0,none,80.8914806289761,55.9481411061798,265.875461903877
old,mild,6.35127748885678,any,3554.61052373735,386.087495015106,4167.13333868824
adult,none,2.81632915017326,any,960.889122122117,180.796071828779,1286.76743710827
adult,none,0.0,none,108.193115845198,157.057651473341,380.553925729264
young,none,0.0,none,97.7605073467703,60.7206137450363,297.498632892018
old,none,8.44494696818817,any,2629.95180948974,299.68241309874,3115.76733393169
adult,none,0.0,none,92.7391384751583,160.558876630514,373.206030605681
old,none,0.0,none,118.373891466001,351.834211985068,591.984651258761
adult,none,0.0,none,126.773418276112,169.982218349203,429.418203776229
adult,severe,0.0,none,55.5438563967766,169.887324102388,361.325463905698
old,mild,0.0,none,124.525923707425,336.417839619577,605.73914559708
young,none,0.0,none,21.3785636001182,44.8153924660308,179.918124889762
adult,none,0.0,none,148.147436992232,186.444898220735,461.536028040211
young,none,1.18134698856053,any,472.900736774558,67.513908884339,688.372746404529
young,none,0.0,none,48.2506608054169,78.892274456568,252.925038513594
adult,mild,4.03343059016507,any,2318.9700559625,176.167798287821,2665.15881260691
young,mild,0.0,none,85.2416276631502,48.5872922155227,259.16525820244
adult,none,2.75264480445967,any,946.510562414743,174.819635110099,1269.00321851815
young,none,0.0,none,107.846464020762,62.3667869937019,295.423917146203
adult,mild,0.0,none,107.502520703892,172.684096153465,426.843445699215
young,none,0.0,none,126.578139284664,79.2100233850043,337.503932435314
old,none,0.0,none,117.418907303441,330.251156164951,594.17088324976
adult,severe,0.0,none,-77.0192683139232,181.190605484225,222.431910199712
adult,none,0.0,none,64.1676825206576,194.07108839328,385.046362917047
adult,none,0.0,none,127.851511691803,198.899215619127,464.207287947813
adult,none,0.0,none,50.9756664698823,175.670168194464,366.694902541968
young,none,0.0,none,103.196366678875,64.4096081049669,309.517930778106
old,severe,6.39643638538989,any,5140.6708667005,395.716547615928,5789.31081294812
old,mild,7.50559354848496,any,4147.06411359282,385.659013614011,4758.5162187302
old,none,7.96973063266884,any,2482.79496084136,361.491753209921,3040.73379896256
old,none,5.55039542491747,any,1802.60130017673,348.883375792606,2334.55309525204
young,none,0.0,none,84.2748030262657,61.2344584721158,248.447826332688
young,none,0.0,none,196.53578819601,57.5790403436911,382.625716431157
old,none,0.0,none,109.091623597679,374.272451269654,617.984123934624
young,none,0.0,none,69.452764446863,56.2062943991043,241.635552702169
adult,none,4.33817569039905,any,1393.16968530555,171.872365326696,1721.51969255112
adult,none,0.0,none,117.798609277902,187.942471186631,438.005476091641
young,none,0.0,none,95.0162109553946,58.1620501009358,298.108257680785
adult,mild,4.79720999516727,any,2792.36646131706,180.203078859466,3140.81896666
adult,none,0.0,none,101.535735263887,135.738356837236,370.67912279142
adult,none,0.0,none,35.3529475658291,203.548027097153,368.749701774849
old,none,0.0,none,78.2023131370812,337.915212249728,545.468287228979
adult,mild,0.0,none,164.431334392144,152.857245878058,429.302905357613
young,mild,0.0,none,60.8167302808836,45.8697476598957,222.840991592332
adult,mild,3.69701502980857,any,2166.51522610118,186.692446165385,2524.35705118534
adult,mild,0.0,none,133.811264128984,194.499703954526,478.365880361205
adult,none,0.0,none,61.3345969550677,169.050855480153,355.888300185338
young,none,1.41563802990549,any,523.850438829349,47.7316506980291,701.246063990953
young,none,0.0,none,116.152140746391,60.342091730915,298.631279422566
adult,none,0.0,none,93.2822449933958,192.453402639061,422.595563275089
young,none,0.0,none,51.00712274485,69.360621801961,252.304748790042
young,mild,0.780802736959441,any,556.029676170624,50.4615862243712,760.128904791494
young,none,0.0,none,117.529785461676,58.9076741540456,310.375598234817
young,none,0.0,none,135.944367902702,49.4053450895099,300.556939999182
adult,none,0.0,none,81.849148159763,182.092467576948,382.971470673268
adult,none,0.0,none,98.8041937547354,181.192428713838,407.682205026681
adult,none,0.0,none,114.84025530579,159.079807258207,393.085084694853
adult,none,0.0,none,96.2795910703573,175.082652851104,406.325304888822
adult,none,0.0,none,121.613550278071,117.752852670814,361.901029359304
adult,none,2.77782903259849,any,933.064982631201,194.026935307641,1267.96680551753
adult,none,0.0,none,87.4539628364829,178.673829733385,404.656807024708
young,none,0.0,none,72.9095260265337,63.1504805355845,254.596745828721
adult,none,0.0,none,103.219043578638,180.478770076248,410.370095982128
adult,none,0.0,none,37.7724325620673,187.647621044835,348.849717302861
adult,none,0.0,none,106.091776664464,163.11167142942,405.480964280146
adult,none,0.0,none,84.0864045966483,168.809056145557,362.726541839468
young,none,0.0,none,99.1102346889817,61.7495618527811,285.686018279501
young,none,0.0,none,74.5805817584585,68.4897767130883,269.750490536912
young,mild,0.0,none,106.727986291481,76.3919515166564,313.504665949057
young,none,0.0,none,118.896111830765,71.4112133400248,313.829831341373
old,none,7.08555318286901,any,2257.02439944764,324.019410522006,2757.72814030763
young,none,0.0,none,79.9468794439627,53.4602244944963,248.401174619238
adult,none,0.0,none,55.1821546804965,145.361551691027,317.630349284538
old,none,0.0,none,84.790241626128,379.217849731246,607.11540027683
adult,none,0.0,none,101.651459681539,198.622378430933,432.274100824441
adult,none,0.0,none,79.3820090910559,190.718899164526,393.306753162856
adult,none,0.0,none,111.624675372802,165.889987856943,402.707897546751
adult,none,0.0,none,101.588937773011,173.110269864694,405.523731668584
adult,severe,0.0,none,94.0526550428485,151.715379168882,377.748932864526
young,mild,0.0,none,54.0712496511381,61.2804977816722,230.881995244114
young,none,0.0,none,155.25267633541,60.9256403043677,323.995965604679
old,none,0.0,none,39.2285167479189,331.640980463896,514.80004708257
adult,none,0.0,none,85.9141939865081,186.545022440288,405.596720501978
adult,none,0.0,none,95.6968328439625,182.923572281454,407.38420427271
old,mild,0.0,none,90.7382984840345,451.735227489036,696.491793649138
adult,mild,0.0,none,160.484217525036,207.646325878209,506.690728383381
adult,mild,0.0,none,118.090378977152,229.20404540784,493.114786842009
adult,none,0.0,none,77.5467159637145,187.626212423289,393.696282582999
adult,mild,4.3455039068933,any,2530.99110033743,143.661517936348,2848.06593280897
adult,none,0.0,none,69.0907466695915,197.36886823639,398.942706824252
adult,none,0.0,none,111.542593250754,206.961614890563,456.178587152967
adult,severe,3.68917009508998,any,3211.2076165012,156.999256877228,3560.50487339913
young,none,0.0,none,126.804671733683,63.3580451685787,315.544220909166
old,mild,6.6675423194522,any,3813.04543298087,345.090243133268,4367.72938820273
adult,mild,0.0,none,70.1859458911084,168.314274302804,376.485762552791
young,none,1.31591322384608,any,477.221720770056,67.0602540089123,673.41761208269
adult,mild,0.0,none,106.874815450466,191.046787074567,438.869879782176
young,mild,0.0,none,-1.78582818859469,78.3116924848369,193.70515501409
young,none,1.24447407235639,any,518.525128262361,59.8076054844883,709.573979803374
adult,none,0.0,none,92.6469419660223,179.463293547747,392.3265991547
adult,mild,0.0,none,184.586105292177,148.867855822993,451.53523501
adult,none,0.0,none,72.8682619345171,158.816966136245,355.600681442739
adult,mild,0.0,none,91.4680411068986,166.372084819428,399.980830684795
adult,mild,3.08565921811032,any,1770.70466074628,174.073883284953,2104.89735366398
adult,none,6.00270216252549,any,1887.30555022216,157.521721096252,2214.10559988256
old,mild,0.0,none,164.379563781025,317.80955301927,612.885420309453
adult,severe,0.0,none,37.3803944600972,143.564006575765,312.325388882135
adult,mild,0.0,none,36.9880861993643,184.074510089247,354.029190921094
old,none,7.85054450758135,any,2478.12299069711,378.151060799452,3043.93843573244
young,none,0.0,none,126.332863826098,67.6682133748199,311.517660233316
young,none,0.0,none,76.0447655580768,66.4669696837017,269.929060363818
adult,none,5.0920008285021,any,1591.24135514373,193.235363989034,1951.01129540469
adult,mild,4.66650960696051,any,2702.32886010161,206.676194228996,3100.7671671187
young,none,0.0,none,84.6199665991451,41.9975509853286,254.867102881076
young,none,0.0,none,72.0933179065065,60.4400677327039,248.969695625309
young,none,0.0,none,83.2637635349791,57.6866693754009,266.765822165507
old,mild,0.0,none,133.304975999625,436.57749929757,737.604958465168
old,none,0.0,none,101.635187800537,398.085525388172,641.036625074335
adult,none,0.0,none,109.896139793178,182.920350170763,420.453011925398
adult,none,0.0,none,120.753924156026,197.060506102752,462.089131285093
old,mild,8.03221964466903,any,4532.37838013218,317.577610136579,5087.94659435961
young,none,0.0,none,114.149727209512,68.679252061282,313.046731838563
adult,severe,0.0,none,91.6772763535342,174.954153059957,403.363902112512
adult,mild,0.0,none,128.20880000899,151.321344828174,418.295795472744
adult,mild,0.0,none,181.881506198896,163.973014758861,487.97598278914
young,none,0.0,none,116.791968055214,65.1377748429099,304.213281975447
adult,none,0.0,none,114.565252683706,191.705875370293,440.450087158607
young,none,0.0,none,85.6241822211533,71.5222077567481,285.726151101065
young,mild,0.0,none,106.787328387084,59.2765988459317,289.052468168226
young,none,0.0,none,49.9158826123812,47.1432573021189,218.343686561785
adult,none,0.0,none,108.777571319636,161.614067722901,391.223319781015
old,mild,10.3006304758009,any,5787.57080447809,287.349727986735,6311.03411080751
adult,none,0.0,none,99.3009750177406,186.172482952668,415.388369376771
young,none,0.0,none,139.627130310606,50.6576822648842,323.989945193391
young,none,0.0,none,53.1713470362316,59.0425598671525,229.816303641289
young,mild,0.0,none,61.0756419772505,76.2823706106651,258.974769157289
old,mild,6.43479677096344,any,3617.56046834268,456.445193707028,4270.32350701919
young,none,0.0,none,112.997834193855,39.6993216686208,273.800952840454
adult,mild,0.0,none,50.4840787118119,140.927979899332,315.647025655051
adult,none,0.0,none,148.971016400098,202.290927973681,496.484766989831
old,mild,0.0,none,101.836343647932,302.445330311007,544.310725009571
young,severe,0.0,none,189.056989659746,55.608472194559,361.784649630829
adult,mild,0.0,none,174.714290711297,202.882964358169,519.084164621074
adult,none,0.0,none,95.2986460852858,155.566760731504,402.683486069593
old,none,5.71498000732661,any,1850.01081191762,422.182486936746,2442.63442946367
adult,none,0.0,none,45.110071705079,188.670805313983,360.713138325645
adult,none,0.0,none,173.469822579016,157.641094548732,457.286995258181
adult,none,4.91337739805085,any,1559.33361840651,164.050628675752,1889.51855566555
adult,none,0.0,none,68.7520640347344,152.197433469582,361.203126671526
adult,none,3.20527102694349,any,1093.19522709007,166.358723611021,1432.38973592211
young,none,0.0,none,130.680890882079,72.6487321264108,331.083977489141
old,mild,0.0,none,165.9851313011,358.546063046204,657.083169866493
adult,mild,0.0,none,133.962387217972,178.178270259166,434.980405954593
young,none,0.0,none,71.3925304973291,59.471061379121,260.708557641168
adult,none,0.0,none,130.509617711908,179.912279063183,437.36598865947
young,none,0.0,none,117.414372954099,35.8480541229103,270.889692480985
adult,mild,0.0,none,118.144031903207,142.348751618743,368.385373596921
young,mild,0.0,none,132.362617560296,54.8436711744423,310.42807634627
old,mild,0.0,none,86.1035576320926,387.990528990419,624.416672216912
adult,none,3.87339006502355,any,1230.83888132302,181.039617933559,1563.81159161786
adult,mild,0.0,none,170.662301543928,187.831699251243,498.109491176032
adult,none,0.0,none,65.4940081349163,184.257351399478,357.690805161956
old,mild,0.0,none,174.301736819944,428.675529770023,751.915106981949
young,none,0.0,none,109.967890692118,69.7590603559953,299.839276121691
young,none,0.0,none,91.8550614784737,52.9382418877832,271.555219480995
young,none,0.0,none,93.6965120102921,57.8975235737218,290.321425577792
old,mild,0.0,none,55.466507164133,394.805032071163,573.406115387553
young,none,0.0,none,111.426651325191,58.6515067460945,294.873298905777
adult,none,0.0,none,125.033724916124,182.568183934208,432.656435704553
adult,none,0.0,none,193.652283356196,182.518332425419,507.981867685391
adult,none,4.12592615805842,any,1317.45754688301,158.744880626271,1638.95797281427
adult,mild,3.29676668307866,any,1929.47219180201,189.874009685844,2274.58149731825
young,mild,0.0,none,72.1118406506654,59.0161639281348,248.138186300374
adult,none,5.09638656495174,any,1620.98293833201,171.648994590783,1953.80718356799
adult,severe,0.0,none,88.4011337598363,178.147315048633,391.165043500946
young,none,0.0,none,82.6330526878987,85.4160473884578,301.874615063811
adult,none,0.0,none,100.878151233476,183.105444204826,420.589409929043
young,none,0.0,none,115.409662943272,62.1416675006595,313.644963944355
adult,none,4.85658789688304,any,1562.39298565821,149.542486550568,1870.67085472003
old,severe,5.73371392451124,any,4778.12132636769,427.888455908619,5444.17073299422
old,mild,0.0,none,115.246219969774,382.279615473608,629.873236230701
adult,none,0.0,none,103.498763755373,162.210728158673,383.950545926989
adult,mild,0.0,none,163.523144451772,159.468736224831,462.055771736125
adult,none,0.0,none,101.988904060047,148.550040025313,381.03677850123
adult,none,0.0,none,100.572031728237,187.804849479851,418.976259093557
young,none,0.0,none,117.536821628493,58.7817746281306,305.291178702923
adult,severe,0.0,none,161.49416976288,165.697097818261,441.930231017126
old,none,7.06592839140485,any,2239.64339741379,328.341806855981,2743.296818416
young,none,0.0,none,87.3282252597169,30.3400519375095,253.657299269535
old,none,0.0,none,85.938764293291,366.145028509796,584.943451131738
adult,none,0.0,none,118.532407044448,171.170674173442,417.735326245605
young,mild,0.0,none,117.070382154353,49.4464899502433,300.353618977644
adult,none,0.0,none,73.9700616159906,168.880200781835,362.048216129238
old,none,0.0,none,96.0812636844786,357.776737712033,587.136286893334
adult,none,0.0,none,72.4671898640729,172.721192781682,362.481768452141
old,none,8.95371506174315,any,2777.7158721661,350.676897297911,3317.11938550104
young,none,0.0,none,122.649860379434,58.9580972438399,314.876292597445
adult,none,0.0,none,78.7541764602779,209.105319213274,419.860273706742
young,none,0.0,none,9.09817828488374,67.8453722457583,188.452407143992
young,none,0.0,none,76.6776705835636,61.316121273222,268.301851415847
young,none,0.0,none,124.945725914889,93.4473061512461,345.006269851354
young,none,0.0,none,125.938947835673,75.527390609602,335.175208976043
old,mild,5.68037047896587,any,3166.11583863417,439.965245167806,3804.44190064398
adult,none,0.0,none,130.002466763264,209.540622582284,460.681055072244
young,none,0.0,none,118.869164748312,72.5933068987348,331.298496197718
young,none,0.0,none,135.269543781501,73.5094767558698,336.962648994092
old,none,0.0,none,121.601372196944,318.728081441643,581.655025572137
old,mild,6.59888317747029,any,3673.01240021666,403.699604138542,4292.6511784714
young,none,0.0,none,117.552897988179,66.3245170832962,316.370191440839
old,none,4.49547067789136,any,1465.06209801125,347.561584723111,1971.96595844283
old,none,0.0,none,93.0527640789857,359.714205827698,598.025932592491
adult,mild,4.29891877587515,any,2440.35351387499,168.683441989117,2784.86255376438
adult,none,0.0,none,90.9752613786512,175.174950106914,414.05745067739
old,none,6.61801124627173,any,2096.40486000167,332.440699830688,2610.00639412893
old,mild,0.0,none,135.060305764408,446.027915407023,730.028538680325
old,mild,0.0,none,77.9947334392728,427.030112975641,645.186056258004
young,none,0.0,none,93.1882228749311,56.251554705545,280.891423700549
old,mild,0.0,none,37.7428630180486,354.752706784016,532.287187959602
old,mild,6.09227983109302,any,3449.04759250933,339.078604895095,3980.97658473701
adult,none,0.0,none,97.5593085264525,165.200409799743,390.202379687701
old,mild,0.0,none,20.0385511801665,378.022125773751,538.051519104283
young,none,0.396314301854813,any,239.982524709049,48.9657632251089,396.411095251727
adult,none,5.31916902463503,any,1720.63458280112,210.700157979039,2114.80056212947
young,none,0.0,none,80.5816439814181,64.7782705899014,269.043909896874
young,none,0.0,none,98.3122448943095,92.5257177952794,316.876504484357
young,none,0.0,none,96.1361680928629,63.2746249836061,263.284912398822
young,none,0.0,none,64.6416826696212,64.5512020574154,264.7746252399
young,none,0.0,none,103.309637594891,59.8597648927093,281.837327998182
adult,none,0.0,none,67.7805855215456,193.571246380837,393.748303577375
adult,none,0.0,none,141.166623676117,214.747306567048,476.962800013613
old,none,7.95139445369259,any,2482.91194757677,380.148264689621,3064.42909110418
young,none,0.0,none,126.048058139629,58.2813938007046,300.877093553931
adult,none,0.0,none,40.2780284419862,197.636708110419,367.308620171116
young,none,0.0,none,108.883525034708,60.9275221443246,286.005576074581
old,mild,5.97602008439381,any,3374.23445170562,383.035326633281,3980.82490411343
adult,none,0.0,none,153.555538006369,163.633934790435,431.064155941016
young,none,0.0,none,138.692129945464,49.2841321369395,324.368917739076
young,none,0.0,none,185.708620155937,65.6378938509922,385.687063933279
young,none,0.0,none,127.777819305481,34.8235789427761,300.404232816228
old,mild,4.0741988633533,any,2332.06584648372,378.665595064117,2877.36854277186
adult,none,4.4644405154662,any,1446.55143115664,168.436518324563,1795.44560905499
young,none,0.0,none,110.00839357389,60.8472917262343,298.473875012466
adult,none,3.76178757948373,any,1238.97476492192,165.836434182912,1560.91094750345
old,none,0.0,none,53.1066643011208,499.574652975191,680.884086559159
adult,none,0.0,none,79.4230203106591,155.190703130503,375.496577651215
young,none,0.0,none,105.314069262669,68.584250597378,298.756413124408
young,none,0.0,none,115.156927275987,62.6192203860601,319.118767010515
old,mild,0.0,none,80.8877438850132,362.906295102717,577.621754599524
young,none,0.0,none,107.889351017987,41.8960023418782,284.270509104996
adult,mild,0.0,none,171.517886367809,169.636684447081,453.187078845167
adult,severe,0.0,none,79.0373021249676,180.111554454612,400.911821473917
young,none,1.30360102760439,any,506.240288075936,67.7704281158259,716.464865336737
young,none,0.0,none,83.3888762461017,45.6637243587612,244.183210796882
young,none,0.0,none,114.548147151093,54.434201530556,274.799032533248
old,mild,6.31130696835411,any,3624.27027195349,344.715815376362,4177.41219286612
adult,none,0.0,none,106.697028916299,230.043850233963,466.204488806355
adult,none,0.0,none,123.613622021834,192.201906710674,435.966791925678
adult,none,4.67402458533776,any,1474.88845037267,183.418049555785,1816.56441664124
old,none,5.01182802962897,any,1569.56759710172,368.206254159269,2125.53807195324
young,none,0.0,none,125.665729010311,63.6987737521275,315.212292128177
adult,none,0.0,none,76.635138781252,182.784809750525,397.202343491549
young,none,0.0,none,109.599105092218,63.347025461085,296.32803389085
old,none,0.0,none,99.2343323803258,419.127771879754,665.037792273634
young,none,0.0,none,44.0321941657794,47.5287031534522,236.921723945642
young,none,0.0,none,111.585047008093,63.940289287963,285.774336749643
young,none,0.972280900673889,any,414.968563655279,78.4775130392142,612.180807643025
adult,mild,3.75199786330711,any,2118.94938005257,150.524366403639,2438.13336409798
old,mild,0.0,none,176.902631355269,404.039789227955,709.991494542318
young,none,0.0,none,117.964117043075,53.1860664121621,280.7965977637
old,mild,6.01693454627596,any,3453.92640318277,333.331751698005,3991.10959370463
young,none,0.0,none,147.819251684623,50.4628870451734,319.651477984522
old,mild,0.0,none,131.154141465579,456.0554941051,730.07891983133
young,none,0.0,none,113.556405984906,61.6415547016557,305.748447388555
young,none,0.0,none,28.4915317984214,54.0358125736992,196.765906580794
young,none,0.0,none,62.5397500396042,38.7793723228046,221.018244323263
adult,none,0.0,none,102.529805557131,202.265441840821,450.173928457959
young,none,0.0,none,81.3626979710115,57.2805864166883,275.204442819989
adult,none,0.0,none,105.30776485476,187.047609689925,442.089641881015
old,mild,0.0,none,69.2138493289626,362.689860280584,571.984693121087
young,none,0.82652759175843,any,358.424171616952,61.2433828637081,544.999725295027
