HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
False,NORMAL,NORMAL,False,NORMAL,False,HIGH,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,ZERO,ZERO,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,True,NORMAL,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,HIGH,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,NORMAL,False,HIGH,NORMAL,True,HIGH,True,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,HIGH,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,ZERO,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,LOW,ZERO,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,False,HIGH,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,True,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,HIGH,HIGH,False,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,LOW,LOW,False,LOW,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
True,LOW,LOW,True,LOW,True,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,NORMAL,False,ZERO,LOW,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,LOW,NORMAL,LOW,LOW,NORMAL,False,NORMAL,ESOPHAGEAL,ZERO,False,NORMAL,LOW,ZERO,ZERO,LOW,HIGH,HIGH,HIGH,HIGH,HIGH
False,LOW,NORMAL,False,NORMAL,False,NORMAL,True,HIGH,LOW,False,LOW,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,HIGH,HIGH,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,NORMAL,HIGH,HIGH,HIGH,LOW
False,LOW,LOW,False,LOW,False,NORMAL,False,LOW,LOW,False,LOW,False,False,LOW,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,False,LOW,LOW,ZERO,LOW,HIGH,LOW,HIGH,NORMAL,NORMAL,LOW
False,NORMAL,NORMAL,False,NORMAL,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,HIGH,True,HIGH,False,LOW,True,NORMAL,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,HIGH,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,HIGH,False,LOW,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,True,NORMAL,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,True,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
False,HIGH,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,NORMAL,False,LOW,NORMAL,LOW,LOW,HIGH,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,ZERO,ZERO,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,HIGH,LOW,False,ZERO,LOW,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,False,False,HIGH,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,LOW,False,HIGH,HIGH,HIGH,LOW,HIGH,LOW,NORMAL,NORMAL,NORMAL,HIGH
False,HIGH,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,NORMAL,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,HIGH,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,NORMAL,True,NORMAL,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,LOW,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,LOW,LOW
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,NORMAL,False,LOW,NORMAL,LOW,LOW,NORMAL,False,HIGH,ONESIDED,HIGH,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,LOW,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,HIGH,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,LOW,False,HIGH,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW
False,NORMAL,HIGH,False,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
False,HIGH,HIGH,False,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,LOW,LOW,ZERO,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,False,False,HIGH,HIGH,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,HIGH
False,NORMAL,NORMAL,True,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,NORMAL,False,NORMAL,False,False,HIGH,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,LOW,LOW,NORMAL
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,LOW,LOW,False,LOW,False,False,LOW,LOW,False,ZERO,LOW,LOW,LOW,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW
False,NORMAL,HIGH,True,HIGH,False,LOW,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,ZERO,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW,HIGH,HIGH,LOW,LOW
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,NORMAL,LOW,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,False,NORMAL,False,NORMAL,False,HIGH,HIGH,False,HIGH,False,False,LOW,LOW,False,ZERO,NORMAL,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,LOW
False,HIGH,HIGH,True,HIGH,False,NORMAL,False,HIGH,HIGH,False,HIGH,True,False,NORMAL,ZERO,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,HIGH,True,NORMAL,NORMAL,ZERO,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH
False,NORMAL,NORMAL,True,NORMAL,False,NORMAL,False,HIGH,NORMAL,True,NORMAL,False,False,NORMAL,LOW,False,ZERO,NORMAL,LOW,LOW,LOW,False,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH
