А/м для перевозки воды res,Автобетоносмеситель res,Автокран res,Автомобиль res,Бетонщик res,Бульдозер res,Бурение скважин act,Бурильная машина res,Вахтовый автомобиль res,Газорезчик res,Геодезист res,ДЭС res,ИТР res,Изготовление металлоконструкций траверс act,Изготовление свай act,Инженер ПТО res,Инженер по охране труда res,Инженер технического надзора res,Кладовщик res,Маляр res,Мастер СМР res,Механизаторы res,Механик res,Монтаж металлоконструкций траверс act,Монтаж оголовников свай act,Монтаж опор act,Монтажник res,Надземная прокладка трубопровода act,Надземная прокладка трубопровода ⌀159х6 act,Надземная прокладка трубопровода ⌀325х8 act,Надземная прокладка трубопровода ⌀426х9 act,Начальник участка res,ППУ res,Плазморезчик res,Прораб res,Разнорабочий res,Руководитель res,Самосвал res,Сварка трубопровода act,Срезка свай act,Стропальщик res,Топливозаправщик res,Трубоукладчик res,Тягач с полуприцепом res,Устройсво перехода трубопровода через дорогу (подход к основной магистрали) act,Устройсво перехода трубопровода через дорогу на К-3.1 act,Устройство свайного основания act,Экскаваторы res,"Электрик, электромонтажник res",Электросварщики res,технические ресурсы res
0,0,0,0,0,0,98,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,98,0,0,0,0
0,0,0,0,0,0,60,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,60,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,40,20,0,50,0,50,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,12,24,0,0,36,0,36,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,16,32,6,0,30,0,30,0,0,0,0,0,0,0,0,20,32,0,0,0,0,0,0,20,0,0,0,0
0,0,0,0,0,0,18,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,12,24,14,0,40,0,40,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,18,0,0,0,0
0,0,0,0,0,0,18,0,0,0,0,0,0,12,44,0,0,0,0,0,0,0,0,12,24,0,0,30,0,30,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,18,0,0,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,20,74,0,0,0,0,0,0,0,0,20,40,20,0,120,0,120,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,22,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,20,40,10,0,50,0,50,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,20,0,0,0,0
0,0,0,0,0,0,44,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,20,40,40,0,100,0,100,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,44,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,20,0,80,0,80,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,20,0,80,0,80,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,20,0,80,0,80,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,20,0,80,0,80,0,0,0,0,0,0,0,0,16,40,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,20,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,7,2,60,3,2,3,2,0,16,20,60,2,1,1,1,9,0,48,1,20,70,20,20,60,0,60,0,2,1,1,7,1,1,1,20,70,9,1,3,4,0,0,60,3,2,23,2
1,2,2,2,7,2,16,3,2,3,2,8,15,30,60,2,1,1,3,9,0,60,3,30,24,20,20,60,0,60,0,1,1,0,7,5,1,2,20,80,9,1,4,3,0,0,16,3,3,23,2
1,2,2,2,7,2,16,3,2,3,2,8,15,30,60,2,1,1,3,9,0,60,3,30,60,20,20,60,0,60,0,1,1,0,7,5,1,2,20,60,9,1,4,3,0,0,16,3,3,23,2
1,2,2,2,7,2,20,3,2,3,2,8,15,30,60,2,1,1,3,9,0,60,3,30,60,12,20,40,0,40,0,1,1,0,7,5,1,2,16,56,9,1,4,3,0,0,20,3,3,23,2
1,2,2,2,7,2,20,3,2,3,2,8,15,14,48,2,1,1,3,9,0,60,3,14,60,20,20,70,0,70,0,1,1,0,7,5,1,2,16,60,9,1,4,3,0,0,20,3,3,23,2
1,3,2,2,7,2,60,3,2,3,2,8,15,16,40,2,1,1,3,9,0,61,3,16,28,12,20,70,0,70,0,1,1,0,7,5,1,2,14,30,9,1,4,3,0,0,60,3,3,23,2
1,3,2,2,7,2,70,3,2,3,2,8,15,20,14,2,1,1,3,9,0,61,3,20,32,8,20,50,0,50,0,1,1,0,7,5,1,2,10,60,9,1,4,3,0,0,70,3,3,23,2
1,3,2,2,7,2,70,3,2,3,2,8,15,12,0,2,1,1,3,9,0,61,3,12,40,12,20,30,0,30,0,1,1,0,7,5,1,2,10,60,9,1,4,3,0,0,60,3,3,23,2
1,3,2,2,7,2,54,3,2,3,2,8,15,0,0,2,1,1,3,9,0,61,3,0,20,0,20,0,0,0,0,1,1,0,7,5,1,2,0,18,9,1,4,3,0,0,42,3,3,23,2
1,3,2,2,7,2,0,3,2,3,2,8,15,20,12,2,1,1,3,9,0,61,3,20,0,10,20,20,0,20,0,1,1,0,7,5,1,2,8,0,9,1,4,3,0,0,0,3,3,23,2
1,3,2,2,7,2,40,3,2,3,2,8,15,0,60,2,1,1,3,9,0,61,3,0,20,8,20,30,0,30,0,1,1,0,7,5,1,2,16,0,9,1,4,3,0,0,32,3,3,23,2
1,3,2,2,7,2,36,3,2,3,2,8,15,30,18,2,1,1,3,9,0,61,3,30,20,10,20,30,0,30,0,1,1,0,7,5,1,2,12,70,9,1,4,3,0,0,36,3,3,23,2
1,3,2,2,7,2,48,3,2,3,2,8,15,40,12,2,1,1,3,9,0,61,3,40,20,8,20,30,0,30,0,1,1,0,7,5,1,2,14,42,9,1,4,3,0,0,48,3,3,23,2
1,3,2,2,7,2,28,3,2,3,2,8,15,24,8,2,1,1,3,9,0,61,3,24,12,4,20,15,0,15,0,1,1,0,7,5,1,2,4,60,9,1,4,3,0,0,42,3,3,23,2
1,3,2,2,7,2,44,3,2,3,2,8,15,14,20,2,1,1,3,9,0,61,3,14,24,0,20,10,0,10,0,1,1,0,7,5,1,2,6,44,9,1,4,3,0,0,36,3,3,23,2
1,3,2,2,7,2,30,3,2,3,2,8,14,20,12,2,1,1,3,9,0,61,3,20,20,8,20,30,0,30,0,1,1,0,6,5,1,2,16,20,9,1,4,3,0,0,0,3,3,23,2
1,3,2,2,7,2,0,3,2,3,2,8,14,30,8,2,1,1,3,9,0,61,3,0,0,18,20,20,0,20,0,1,1,0,6,5,1,2,8,0,9,1,4,3,0,0,0,3,3,23,2
1,3,2,2,7,2,0,3,2,3,2,8,14,40,20,2,1,1,3,9,0,61,3,40,0,8,20,35,0,35,0,1,1,0,6,5,1,2,6,92,9,1,4,3,0,0,20,3,3,23,2
1,3,2,2,7,2,14,3,2,3,2,8,14,44,16,2,1,1,3,9,0,61,3,44,0,10,20,30,0,30,0,1,1,0,6,5,1,2,6,80,9,1,4,3,0,0,32,3,3,23,2
1,3,2,2,7,2,80,3,2,3,2,8,14,14,30,2,1,1,3,9,0,61,3,14,88,10,20,55,0,55,0,1,1,0,6,5,1,2,10,88,9,1,4,3,0,0,60,3,3,23,2
1,3,2,2,7,2,60,3,2,3,2,8,14,50,20,2,1,1,3,9,0,61,3,50,96,22,20,57,0,57,0,1,1,0,6,5,1,2,12,62,9,1,4,3,0,0,60,3,3,23,2
1,3,2,2,7,2,106,3,2,3,2,8,14,50,28,2,1,1,3,9,0,61,3,50,40,28,20,110,0,110,0,1,1,0,6,5,1,2,24,0,9,1,4,3,0,0,94,3,3,23,2
1,3,2,2,7,2,174,3,2,3,2,8,14,0,20,2,1,1,3,9,0,61,3,0,0,12,20,80,0,80,0,1,1,0,6,5,1,2,16,0,9,1,4,3,0,0,70,3,3,23,2
1,3,2,2,7,2,180,3,2,3,2,8,14,0,28,2,1,1,3,9,0,61,3,0,0,6,20,20,0,20,0,1,1,0,6,5,1,2,8,0,9,1,4,3,0,0,54,3,3,23,2
1,3,2,2,7,2,124,3,2,3,2,8,14,0,60,2,1,1,3,9,0,61,3,0,16,44,20,98,0,98,0,1,1,0,6,5,1,2,28,0,9,1,4,3,0,0,92,3,3,23,2
0,0,0,0,0,0,60,0,0,0,0,0,0,20,56,0,0,0,0,0,0,0,0,20,0,44,0,111,0,111,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,70,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,30,180,0,0,125,0,125,0,0,0,0,0,0,0,0,32,40,0,0,0,0,0,0,128,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,20,102,0,0,0,0,0,0,0,0,0,144,12,0,63,0,63,0,0,0,0,0,0,0,0,16,124,0,0,0,0,0,0,48,0,0,0,2
0,0,0,0,0,0,16,0,0,0,0,0,0,86,50,0,0,0,0,0,0,0,0,16,140,32,0,115,0,115,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,90,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,172,99,73,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,14,0,0,0,0,0,0,26,124,0,0,0,0,0,0,0,0,26,26,32,0,103,0,103,0,0,0,0,0,0,0,0,28,26,0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,80,0,0,0,0,0,0,84,144,0,0,0,0,0,0,0,0,84,114,14,0,62,0,62,0,0,0,0,0,0,0,0,24,90,0,0,0,0,0,0,78,0,0,0,0
0,0,0,0,0,0,196,0,0,0,0,0,0,52,44,0,0,0,0,0,0,0,0,52,24,12,0,72,0,72,0,0,0,0,0,0,0,0,18,44,0,0,0,0,0,0,116,0,0,0,0
0,0,0,0,0,0,146,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,12,30,0,121,0,121,0,0,0,0,0,0,0,0,30,260,0,0,0,0,0,0,96,0,0,0,0
0,0,0,0,0,0,90,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,120,14,0,55,0,55,0,0,0,0,0,0,0,0,24,30,0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,132,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,120,20,0,81,0,81,0,0,0,0,0,0,0,0,26,60,0,0,0,0,0,0,80,0,0,0,0
0,0,0,0,0,0,106,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,86,8,0,62,0,62,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,68,0,0,0,0
0,0,0,0,0,0,100,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,40,4,0,20,0,20,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,66,0,0,0,0,0,0,30,78,0,0,0,0,0,0,0,0,30,28,52,0,120,80,0,40,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,44,48,0,126,56,0,70,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,60,0,0,0,0
0,0,0,0,0,0,24,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,54,0,140,120,0,20,0,0,0,0,0,0,0,22,20,0,0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,0,42,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,12,58,0,125,50,0,75,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,80,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,40,26,14,0,40,10,0,30,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,56,0,0,0,0
0,0,0,0,0,0,42,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,56,32,14,0,64,10,0,54,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,16,14,0,66,10,0,56,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,8,10,0,15,5,0,10,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,12,24,0,80,10,0,70,0,0,0,0,0,0,0,36,32,0,0,0,0,0,0,36,0,0,0,0
0,0,0,0,0,0,34,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,40,32,0,115,60,0,55,0,0,0,0,0,0,0,48,52,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,60,36,0,70,45,0,25,0,0,0,0,0,0,0,58,40,0,0,0,0,0,0,54,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,60,28,0,50,30,0,20,0,0,0,0,0,0,0,58,60,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,60,8,0,10,10,0,0,0,0,0,0,0,0,0,18,60,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,50,50,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,35,35,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,6,2,14,2,2,3,2,8,14,0,0,2,1,1,3,6,1,45,1,16,32,0,35,0,0,0,0,1,1,0,4,5,2,3,0,36,6,1,4,1,0,0,36,4,0,28,2
1,1,2,1,6,2,0,2,2,3,2,8,14,0,0,2,1,1,3,6,1,45,1,16,0,0,35,0,0,0,0,1,1,0,4,5,2,3,0,0,6,1,4,1,0,0,0,4,0,28,2
1,1,2,1,6,2,0,2,2,3,2,8,14,0,0,2,1,1,3,6,1,45,1,0,0,0,35,0,0,0,0,1,1,0,4,5,2,3,0,0,6,1,4,1,0,0,0,4,0,28,2
1,1,2,1,6,2,0,2,2,3,2,8,14,0,0,2,1,1,3,6,1,45,1,0,0,0,35,0,0,0,0,1,1,0,4,5,2,3,0,0,6,1,4,1,0,0,0,4,0,28,2
1,1,2,1,6,2,0,2,2,3,2,8,14,0,0,2,1,1,3,6,1,45,1,0,0,0,35,0,0,0,0,1,1,0,4,5,2,3,0,0,6,1,4,1,0,0,0,4,0,28,2
1,1,2,1,6,2,0,2,2,3,2,8,14,0,0,2,1,1,3,6,1,45,1,0,0,0,35,0,0,0,0,1,1,0,4,5,2,3,38,0,6,1,4,1,0,0,0,4,0,28,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,20,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
