,Сварка трубопровода act,Надземная прокладка трубопровода 426х9 act,Изготовление свай act,Бурение скважин act,Устройство свайного основания act,Срезка свай act,Монтаж оголовников свай act,Изготовление металлоконструкций траверс act,Монтаж металлоконструкций траверс act,Монтаж опор act,Вертикальная планировка act,Устройство подъезда act,Устройство покрытия подъездов act,Инженерная подготовка act,Руководитель res,Инженер технического надзора res,Геодезист res,Инженер по охране труда res,Инженер ПТО res,Начальник участка res,Прораб res,Мастер СМР res,Кладовщик res,Механизаторы res,Электросварщики res,Плазморезчик res,Газорезчик res,Монтажник res,Стропальщик res,"Электрик, электромонтажник res",Механик res,Маляр res,Разнорабочий res,ИТР res,Автомобиль res,Трубоукладчик res,ДЭС res,Автокран res,Бурильная машина res,ППУ res,Тягач с полуприцепом res,Самосвал res,Экскаваторы res,Бульдозер res,АГП res,Автобетоносмеситель res,А/м для перевозки воды res
2017-03-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,2,2,1,0,2,0
2017-03-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,21,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-15 00:00:00,0,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-16 00:00:00,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-17 00:00:00,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-18 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-19 00:00:00,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-20 00:00:00,0,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-21 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-22 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-23 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-24 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-25 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,20,2,0,2,7,4,0,0,0,0,4,1,1,0,1,1,0,0,2,2,1,0,2,0
2017-03-26 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-27 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-28 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-29 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-30 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-31 00:00:00,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01 00:00:00,48,204,72,72,72,69,72,50,50,37,0,0,0,250,1,1,3,1,2,2,2,7,0,49,36,0,10,15,7,0,0,0,0,19,6,5,0,0,3,0,0,0,3,5,0,5,0
2017-05-02 00:00:00,40,66,75,75,75,60,92,50,50,26,0,0,0,0,1,1,1,1,2,2,2,0,0,42,10,0,2,18,8,0,0,0,6,12,2,1,0,2,2,0,4,2,4,2,0,4,0
2017-05-03 00:00:00,37,269,72,72,72,21,75,43,43,69,0,0,0,0,2,2,2,2,3,3,3,1,1,43,11,1,3,19,9,1,1,1,7,13,6,5,0,0,3,0,0,0,3,5,0,5,0
2017-05-04 00:00:00,36,133,0,0,0,24,71,45,45,14,0,0,0,0,2,2,2,2,3,3,3,1,1,43,11,1,3,19,9,1,1,1,7,13,6,5,0,0,3,0,0,0,3,5,0,5,0
2017-05-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,1,1,43,11,1,3,19,9,1,1,1,7,13,6,5,0,0,3,0,0,0,3,5,0,5,0
2017-05-06 00:00:00,34,170,0,0,0,71,75,46,46,24,0,0,0,0,2,2,2,2,3,3,3,1,1,43,11,1,3,19,9,1,1,1,7,13,6,5,0,0,3,0,0,0,3,5,0,5,0
2017-05-07 00:00:00,38,302,8,8,8,88,83,46,46,12,0,0,0,0,2,2,2,2,3,3,3,1,1,43,11,1,3,19,9,1,1,1,7,13,6,5,0,0,3,0,0,0,3,5,0,5,0
2017-05-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
