,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
3186,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
907,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
1422,M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
3148,F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
3237,M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
1117,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
3210,M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12
1421,F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13
3957,F,0.555,0.44,0.155,1.016,0.4935,0.1855,0.263,10
1338,M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
734,M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
149,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
3407,I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6
270,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22
1862,I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
465,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5
2005,I,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
3658,I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10
505,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
2344,M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21
1912,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
3315,M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
865,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
1736,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
1926,M,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11
3409,I,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7
2111,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
1730,M,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
1057,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
1432,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
1467,I,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,7
96,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
1721,M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
196,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
2325,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
1769,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
3361,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
2615,M,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,12
314,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
2266,F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14
150,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
1114,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
3277,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
3282,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
4139,F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10
1094,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
1235,I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7
70,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
3811,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9
534,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
3393,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
800,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
596,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9
1509,F,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,11
4148,M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
1962,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
2760,I,0.55,0.43,0.145,0.712,0.3025,0.152,0.225,10
2509,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
2328,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
2519,I,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7
1222,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
2178,F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15
2303,F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11
888,F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
4052,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
3727,M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
109,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
1392,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
4157,M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
1170,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
1728,M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
3396,M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
4036,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
551,I,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13
3655,M,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
3335,F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
2456,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
2377,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12
862,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
3917,I,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,13
188,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
1337,M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10
2835,M,0.57,0.42,0.14,0.8745,0.416,0.165,0.25,8
527,F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14
205,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
744,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
3572,F,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9
1034,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
1885,I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
3061,M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
1313,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
1281,I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
3984,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
3142,I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
3379,I,0.295,0.21,0.08,0.1,0.038,0.026,0.031,8
3033,M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8
1029,F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
3467,M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
538,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
3691,M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
3023,I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
3657,M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7
3027,I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8
1176,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10
1747,F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
1309,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10
2484,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
471,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
2441,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
1786,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
408,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
2985,I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8
2910,M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
598,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12
568,M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7
2297,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
3161,F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6
1149,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9
69,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
4051,M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
2475,F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12
3109,I,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7
1393,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
2345,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
2354,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
1018,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8
1626,F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
2758,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10
4176,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
3049,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
2258,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
1258,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
3450,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
1292,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9
2093,F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
1003,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
1350,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
733,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
3254,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
2045,I,0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
969,M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
2636,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
14,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
2063,M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
1945,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
1891,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
1213,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
2749,I,0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,9
978,M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
371,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16
755,M,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
3684,I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11
2399,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
3129,F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10
1961,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
3229,F,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12
2603,F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9
2889,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
746,F,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17
798,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
3948,F,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
457,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
594,M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12
2936,M,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,11
1001,M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
3755,I,0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
4084,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10
2195,I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
2130,M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9
2803,M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,12
3969,I,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6
3988,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
3220,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
3595,M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
3479,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
1780,M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
3889,M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,12
3057,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
2494,M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
184,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12
1983,F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
2144,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
1550,I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
3644,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
2540,F,0.675,0.55,0.175,1.689,0.694,0.371,0.474,13
3422,M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
330,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
463,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
1041,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
2943,F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
794,M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
211,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
2092,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
3349,I,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
2548,I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
2781,M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
2992,I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
3076,F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11
3045,F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
2292,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
2279,M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10
2514,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
1598,I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9
1835,I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
937,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
1088,I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
2507,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
1185,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9
2913,M,0.59,0.5,0.15,1.142,0.485,0.265,0.345,9
2726,I,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
410,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
2250,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11
1717,F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
893,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
1042,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12
2314,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14
2202,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
2402,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
3021,I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
3659,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
3028,I,0.515,0.385,0.125,0.572,0.237,0.1435,0.165,7
296,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
2460,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
4008,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
3635,I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
2029,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
2591,F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
3533,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
3501,M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12
838,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
1703,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
3305,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
1720,M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9
3085,I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6
785,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
2330,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
2355,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13
2659,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
650,M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
3773,F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9
1921,M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
3380,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
1611,M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
1966,F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10
4017,M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
1056,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
2236,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15
438,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
229,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
2948,F,0.635,0.5,0.19,1.29,0.593,0.3045,0.352,8
3084,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
1553,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
1017,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
3125,M,0.585,0.46,0.15,1.206,0.581,0.216,0.323,10
1164,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
4165,I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7
2620,F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
2022,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
544,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
2728,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
4149,I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
691,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
2583,F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
1770,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
45,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
490,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
3054,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
1652,M,0.595,0.45,0.14,0.838,0.3965,0.194,0.217,10
43,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
501,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
3041,M,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,9
1867,I,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9
676,M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
2124,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7
2725,I,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,8
1270,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
731,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
1538,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
2090,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
682,F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
1487,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
964,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
2242,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
325,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
1898,F,0.57,0.44,0.12,0.803,0.382,0.1525,0.234,9
2488,M,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14
511,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
1789,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
2622,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
1784,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
576,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
1024,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
3887,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9
3626,M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,10
2442,M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,9
3750,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
2078,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
309,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
3273,F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
1322,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
842,M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
4076,I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
1859,I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10
2585,F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
3053,F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,11
1497,M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
720,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3
1431,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
3846,I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,6
1429,I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,3
3492,M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
1924,F,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8
602,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
759,M,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15
3637,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
3295,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
3541,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
2998,F,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9
3901,F,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12
4043,F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275,8
3206,I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
2107,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
2699,M,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11
1260,I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
3010,I,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6
93,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
2359,F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13
2194,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
2517,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
1583,I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
3725,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
