,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
1084,StrongUp,StronUp,Neutral,StrongUp,StrongUp,Neutral,VeryWet,Wet,Wet,PC,PC,PC,PC,Strong,Strong,StrongWest,Strong,Strong,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Aug20_Sep15,D,CThruK,None,Average,Average,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,D,None,Strong,Strong,D,SVR,SVR,SVR,LowMtsHighPl,CloseToDryAd,Dry,Steep,MarkedUpper,DryMMoistL,DenvCyclone,PosToNeg,Other,AllElse,LVorOther,SEQuad
926,StrongUp,WeakUp,Neutral,StrongUp,StrongUp,Wet,Neutral,Neutral,Wet,PC,Clear,PC,Cloudy,None,None,DCVZFavor,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Neutral,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Slight,E,XNIL,XNIL,XNIL,LowNHighS,CloseToDryAd,Dry,ModerateOrLe,StrongFront,Other,DryLine,NegToPos,Other,SWQuad,Westerly,LV
3049,StrongUp,StronUp,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Neutral,Cloudy,Cloudy,Cloudy,Cloudy,Weak,Weak,StrongWest,Strong,Weak,Strong,Some,LittleChange,LittleChange,StrongPos,Increasing,SIG,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,MoreUnstable,GJ,PartInhibit,Weak,Slight,J,SIG,SIG,SIG,LowNHighS,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,E_NE
1117,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Wet,Wet,Wet,PC,PC,PC,Clear,Weak,Strong,Westerly,None,Weak,None,Some,IncCapDecIns,Increasing,Negative,Decreasing,SVR,Aug20_Sep15,A,AB,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Unfavorable,None,A,SVR,SVR,SVR,LowEvrywhere,Stable,VeryMoist,Steep,MarkedUpper,Other,DenvCyclone,SigNegative,None,SWQuad,Westerly,SEQuad
642,Neutral,StronUp,StrongUp,StrongUp,StrongUp,VeryWet,Dry,Neutral,VeryWet,Clear,PC,Clear,Cloudy,Weak,Strong,StrongWest,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Jul16_Aug10,J,CThruK,None,LessThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,GJ,None,Weak,Slight,J,SIG,SIG,SIG,LowSHighN,ModerateOrLe,Average,ModerateOrLe,NoMajor,DryMMoistL,DryLine,LittleChange,None,LV,LVorOther,LV
4767,WeakUp,Down,Down,Neutral,Neutral,Neutral,Wet,VeryWet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Jul2_Jul15,H,CThruK,PartInhibit,Average,MoreThanAve,H,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,HI,None,Unfavorable,None,H,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,VeryMoist,Steep,MarkedUpper,Other,Other,PosToNeg,Moving,NWQuad,Westerly,SEQuad
501,WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,VeryWet,PC,PC,PC,PC,Strong,Strong,StrongWest,Strong,None,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,May15_Jun14,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,N1GtLIGt_4,Neutral,Average,MoreUnstable,GJ,TotalInhibit,Weak,None,G,XNIL,XNIL,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,Other,DryLine,LittleChange,None,SWQuad,Westerly,LongAnticyc
4066,Neutral,Down,Neutral,Down,Down,Dry,Wet,Dry,Dry,Clear,PC,Clear,Clear,Weak,Strong,Other,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,Neutral,Decreasing,SVR,Jul16_Aug10,H,CThruK,PartInhibit,MoreThanAve,MoreThanAve,H,N1GtLIGt_4,Stability,Average,Average,HI,None,Strong,Strong,H,SIG,SIG,SVR,LowMtsHighPl,Stable,VeryMoist,ModerateOrLe,MarkedUpper,Other,E_W_S,PosToNeg,Moving,NWQuad,LVorOther,LV
333,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Neutral,VeryWet,Wet,Wet,PC,PC,PC,Clear,Weak,Strong,DCVZFavor,Strong,Strong,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jul16_Aug10,D,CThruK,None,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,D,PartInhibit,Strong,Strong,D,SVR,SVR,SVR,LowAtStation,Steep,Dry,ModerateOrLe,OtherRapid,Other,DryLine,SigNegative,Other,NWQuad,Westerly,DenvCyclone
4684,Down,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Neutral,Dry,Neutral,Clear,PC,PC,PC,Weak,Weak,DCVZFavor,Strong,None,Weak,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,SIG,Jun15_Jul1,G,CThruK,PartInhibit,Average,Average,G,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Strong,Moderate,G,SIG,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,None,SWQuad,LVorOther,WidespdDnsl
486,WeakUp,StronUp,StrongUp,StrongUp,StrongUp,Wet,Neutral,Wet,VeryWet,PC,PC,PC,Cloudy,None,None,DCVZFavor,None,None,Weak,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Aug20_Sep15,C,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Neutral,Average,MoreUnstable,ACEFK,None,Moderate,Strong,C,SIG,SIG,SIG,LowNHighS,Steep,Average,Steep,StrongFront,MoistMDryL,E_W_S,NegToPos,QStationary,NWQuad,Westerly,LongAnticyc
1962,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,PC,Cloudy,PC,PC,None,None,StrongWest,None,None,Weak,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,May15_Jun14,A,AB,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,None,Unfavorable,None,A,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Dry,CloseToDryAd,StrongFront,Other,DenvCyclone,SigNegative,Other,SWQuad,Westerly,DenvCyclone
393,WeakUp,Down,Neutral,Down,Down,Neutral,Dry,Dry,Dry,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,IncCapDecIns,Increasing,WeakPos,Decreasing,SIG,May15_Jun14,K,CThruK,Stifling,Average,MoreThanAve,K,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Strong,Strong,K,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,Average,Steep,StrongFront,Other,MovingFtorOt,SigPositive,Other,NWQuad,Westerly,WidespdDnsl
4842,StrongUp,Neutral,Neutral,WeakUp,WeakUp,VeryWet,Dry,VeryWet,VeryWet,Cloudy,PC,Cloudy,Cloudy,None,None,Westerly,None,None,Weak,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,K,CThruK,PartInhibit,Average,LessThanAve,K,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Strong,Moderate,K,XNIL,XNIL,XNIL,Other,Steep,Average,Steep,StrongFront,MoistMDryL,MovingFtorOt,SigNegative,Moving,AllElse,LVorOther,SEQuad
4866,Neutral,Neutral,StrongUp,StrongUp,StrongUp,Neutral,Dry,Neutral,Wet,Cloudy,Clear,Cloudy,Cloudy,Weak,Strong,DCVZFavor,Strong,Weak,Strong,Marked,DecCapIncIns,Decreasing,Neutral,Decreasing,SVR,May15_Jun14,K,CThruK,PartInhibit,LessThanAve,LessThanAve,K,LIGt0,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,Slight,K,XNIL,SIG,SVR,LowEvrywhere,ModerateOrLe,Dry,ModerateOrLe,StrongFront,Other,MovingFtorOt,SigNegative,None,NWQuad,Westerly,WidespdDnsl
1755,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Dry,Wet,Neutral,Wet,PC,PC,PC,Clear,Strong,Strong,StrongWest,Strong,None,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jul16_Aug10,J,CThruK,Stifling,Average,Average,CDEJ,N1GtLIGt_4,Neutral,Average,Average,GJ,None,Weak,Slight,J,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,Average,ModerateOrLe,NoMajor,Other,E_W_N,LittleChange,None,LV,LVorOther,DenvCyclone
2515,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,PC,PC,PC,PC,None,Weak,StrongWest,None,None,None,Some,LittleChange,LittleChange,Negative,Increasing,SIG,Jun15_Jul1,D,CThruK,None,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,D,None,Moderate,Moderate,D,SVR,SVR,SVR,LowAtStation,Steep,Average,Steep,OtherRapid,MoistMDryL,DryLine,SigNegative,Other,NWQuad,LVorOther,LongAnticyc
3585,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Neutral,Dry,Dry,Cloudy,Cloudy,Cloudy,Cloudy,None,None,StrongWest,None,None,Weak,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,B,AB,None,LessThanAve,Average,ABI,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,B,TotalInhibit,Strong,Moderate,B,SVR,SVR,SVR,HighEvrywher,ModerateOrLe,Average,CloseToDryAd,NoMajor,DryMMoistL,DenvCyclone,LittleChange,Moving,LV,LVorOther,E_NE
4315,Down,StronUp,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Dry,PC,PC,Cloudy,PC,Weak,Weak,Westerly,Weak,Strong,Weak,None,IncCapDecIns,Increasing,Negative,Increasing,XNIL,Aug20_Sep15,K,CThruK,Stifling,Average,MoreThanAve,K,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,Stifling,Moderate,None,K,SIG,SIG,SIG,LowSHighN,Steep,Dry,CloseToDryAd,MarkedUpper,DryMMoistL,DryLine,SigNegative,Moving,NWQuad,LVorOther,LV
4966,StrongUp,Down,Down,Down,Down,VeryWet,Dry,Wet,Wet,PC,Clear,PC,PC,Weak,Strong,Westerly,Weak,None,Weak,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,May15_Jun14,K,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,K,N5GtLIGt_8,Instability,MoreUnstable,Average,ACEFK,PartInhibit,Strong,Strong,K,XNIL,XNIL,SIG,LowNHighS,Steep,Dry,Steep,StrongFront,DryMMoistL,DryLine,SigNegative,Other,AllElse,Westerly,LongAnticyc
2099,Neutral,Down,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,PC,Cloudy,Cloudy,Cloudy,Weak,Strong,DCVZFavor,Weak,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,Jul16_Aug10,K,CThruK,PartInhibit,LessThanAve,MoreThanAve,K,LILt_8,Stability,Average,MoreUnstable,ACEFK,None,Strong,Strong,K,XNIL,XNIL,SVR,HighEvrywher,Stable,Dry,ModerateOrLe,StrongFront,Other,MovingFtorOt,SigNegative,None,AllElse,LVorOther,LongAnticyc
3599,Down,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,VeryWet,PC,PC,PC,PC,Weak,Strong,Westerly,Strong,None,Strong,None,DecCapIncIns,Decreasing,WeakPos,Decreasing,SVR,Jul16_Aug10,I,CThruK,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Stability,Average,LessUnstable,HI,None,Weak,Moderate,I,XNIL,XNIL,SVR,HighEvrywher,ModerateOrLe,Average,Steep,StrongFront,DryMMoistL,E_W_S,SigPositive,QStationary,NWQuad,LVorOther,LV
4121,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,PC,PC,PC,Cloudy,Weak,Strong,Westerly,Weak,Weak,Weak,None,LittleChange,LittleChange,Negative,Decreasing,SVR,Aug20_Sep15,D,CThruK,None,Average,Average,CDEJ,N1GtLIGt_4,Stability,Average,Average,D,PartInhibit,Strong,Strong,D,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,Steep,OtherRapid,Other,MovingFtorOt,PosToNeg,Moving,SWQuad,Westerly,SEQuad
29,Neutral,StronUp,WeakUp,WeakUp,WeakUp,Dry,Neutral,VeryWet,VeryWet,PC,Clear,PC,Cloudy,Weak,Weak,Other,None,Weak,None,None,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,K,CThruK,Stifling,Average,MoreThanAve,K,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,None,Unfavorable,None,K,XNIL,SIG,SIG,LowNHighS,ModerateOrLe,Average,CloseToDryAd,StrongFront,DryMMoistL,DryLine,SigPositive,QStationary,NWQuad,Westerly,LongAnticyc
65,Neutral,Down,Down,Down,Down,Wet,Neutral,Wet,Dry,Clear,PC,Clear,Clear,None,None,DCVZFavor,None,Weak,None,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Jul2_Jul15,H,CThruK,PartInhibit,Average,MoreThanAve,H,LILt_8,Stability,MoreUnstable,MoreUnstable,HI,None,Moderate,Moderate,H,SIG,SIG,SIG,LowMtsHighPl,Stable,VeryMoist,Steep,MarkedUpper,DryMMoistL,E_W_S,NegToPos,Moving,SWQuad,Westerly,E_NE
838,WeakUp,Neutral,Down,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,Other,Strong,None,Weak,None,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Aug11_Aug20,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,GJ,Stifling,Moderate,Slight,J,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Average,CloseToDryAd,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,SEQuad
3906,Down,WeakUp,Neutral,Neutral,Neutral,Dry,Neutral,VeryWet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,Other,None,Weak,Strong,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jul16_Aug10,I,CThruK,Stifling,MoreThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Moderate,Slight,I,XNIL,XNIL,SIG,LowMtsHighPl,Steep,Average,ModerateOrLe,StrongFront,DryMMoistL,E_W_S,PosToNeg,QStationary,LV,Westerly,LV
