"","C_NI_12_00","CKNI_12_00","CBODD_12_00","CKND_12_00","CNOD_12_00","CBODN_12_00","CKNN_12_00","CNON_12_00","C_NI_12_15","CKNI_12_15","CBODD_12_15","CKND_12_15","CNOD_12_15","CBODN_12_15","CKNN_12_15","CNON_12_15","C_NI_12_30","CKNI_12_30","CBODD_12_30","CKND_12_30","CNOD_12_30","CBODN_12_30","CKNN_12_30","CNON_12_30","C_NI_12_45","CKNI_12_45","CBODD_12_45","CKND_12_45","CNOD_12_45","CBODN_12_45","CKNN_12_45","CNON_12_45"
"12","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"13","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"14","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"15","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L"
"16","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"17","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"18","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"19","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"20","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L"
"21","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"22","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"23","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"24","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","6_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","6_MG_L"
"25","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"26","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"27","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"28","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L"
"29","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","20_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"30","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"31","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L"
"32","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"33","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","2_MG_L"
"34","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"35","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","15_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","15_MG_L","1_MG_L","4_MG_L"
"36","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"37","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"38","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"39","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","15_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","15_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","15_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"40","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"41","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","6_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L","3","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","6_MG_L"
"42","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"43","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"44","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","6","30_MG_L","25_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"45","3","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"46","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"47","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"48","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"49","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"50","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","20_MG_L","25_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","5","30_MG_L","25_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L"
"51","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","40_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"52","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"53","6","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","25_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","25_MG_L","6_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"54","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"55","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"56","4","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"57","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"58","3","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","20_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","4","20_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"59","6","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","30_MG_L","20_MG_L","6_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","6","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L"
"60","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"61","3","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","40_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","40_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","1_MG_L","4_MG_L","4","30_MG_L","20_MG_L","6_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
"62","5","30_MG_L","20_MG_L","4_MG_L","1_MG_L","10_MG_L","1_MG_L","4_MG_L","5","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L","4","30_MG_L","20_MG_L","4_MG_L","0_5_MG_L","10_MG_L","0_5_MG_L","4_MG_L"
